"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
9.50700494411301e-137	0.478980846466892	0.701	0.537	3.4796588795948e-132	"S6"	"FUT8"
1.88327613325495e-136	0.550775794652259	0.42	0.268	6.89297897532644e-132	"S6"	"TSTD3"
3.35745140877666e-136	0.415325729321268	0.523	0.365	1.22886079012635e-131	"S6"	"VIM-AS1"
6.50601967467592e-136	0.523917651815377	0.404	0.251	2.38126826112814e-131	"S6"	"C2orf88"
7.54934789296176e-136	0.688026157555989	0.379	0.239	2.76313682230293e-131	"S6"	"QPRT"
9.2975065114988e-136	0.551027852864472	0.451	0.296	3.40298035827368e-131	"S6"	"GBP3"
1.0065304771982e-135	0.682988097932125	0.323	0.191	3.68400219959315e-131	"S6"	"SLC2A6"
1.6226303108285e-135	0.293046480050877	0.912	0.819	5.93898920066341e-131	"S6"	"USO1"
1.75315977432383e-135	0.411963305304037	0.757	0.596	6.41674009000266e-131	"S6"	"NID1"
3.15485391724544e-135	0.364120317634241	0.801	0.643	1.154708082251e-130	"S6"	"SCARA3"
3.98504391033376e-135	0.591589941203716	0.365	0.223	1.45856592162126e-130	"S6"	"LRP5"
4.2686103709516e-135	0.642931378485714	0.278	0.154	1.562354081872e-130	"S6"	"AC145124.1"
1.17705249195936e-134	0.576966782693379	0.364	0.223	4.30812982582044e-130	"S6"	"SLC16A2"
1.32521802768561e-134	0.304904073228239	0.957	0.903	4.85043050313209e-130	"S6"	"ACTR3"
1.76747939080983e-134	0.518208785019128	0.471	0.314	6.46915131830306e-130	"S6"	"BMPER"
8.65469972958263e-134	0.402696313589719	0.692	0.522	3.16770664802454e-129	"S6"	"GTF3C1"
1.47367241286727e-133	0.543419786048587	0.41	0.26	5.39378839833549e-129	"S6"	"HIP1"
2.75127695664119e-133	0.663659544513681	0.341	0.207	1.00699487890024e-128	"S6"	"IRAK3"
4.96176884752397e-133	0.402206834629395	0.714	0.551	1.81605701588225e-128	"S6"	"RRP7A"
1.068582684414e-132	0.410380697428719	0.709	0.552	3.9111194832237e-128	"S6"	"ANKLE2"
2.02728496069542e-132	0.625736978667602	0.413	0.27	7.42006568464129e-128	"S6"	"INSIG2"
2.0726099472673e-132	0.489275503811594	0.672	0.514	7.58595966799304e-128	"S6"	"DRAM1"
3.01486342937095e-132	0.920630041905284	0.313	0.191	1.10347016378406e-127	"S6"	"SULF2"
6.68507409695265e-132	0.31182539400966	0.993	0.979	2.44680397022564e-127	"S6"	"FLNA"
1.45907365878633e-131	0.358900791327756	0.845	0.706	5.34035549852383e-127	"S6"	"TNKS1BP1"
1.79246925333469e-131	0.412917223929799	0.706	0.545	6.56061671413029e-127	"S6"	"EGLN1"
3.29958638393671e-131	0.368165437401668	0.828	0.689	1.20768161238468e-126	"S6"	"MDFIC"
2.89913442314613e-130	0.415449036792363	0.737	0.573	1.06111219021571e-125	"S6"	"DHRS3"
5.36854995049576e-130	0.421495854616483	0.674	0.513	1.96494296738095e-125	"S6"	"CNST"
6.90945742447494e-130	0.310515175742736	0.885	0.759	2.52893051193207e-125	"S6"	"NCOA4"
2.15024530177614e-129	0.394213752040348	0.731	0.572	7.87011282903086e-125	"S6"	"SH3PXD2A"
4.21186840674301e-129	0.353801749103535	0.783	0.625	1.54158595555201e-124	"S6"	"NAGLU"
5.80043404541837e-129	0.555176141658133	0.474	0.324	2.12301686496358e-124	"S6"	"DCBLD1"
7.53570684958688e-128	0.363879016219363	0.716	0.552	2.75814406401729e-123	"S6"	"CTNND1"
1.4803229096848e-127	0.619116179001103	0.311	0.184	5.41812988173732e-123	"S6"	"APLP1"
1.69879105338821e-127	0.349067957835194	0.822	0.676	6.21774513450619e-123	"S6"	"DPYD"
2.50608330079848e-127	0.367958847342188	0.918	0.854	9.17251548925253e-123	"S6"	"CDC42EP3"
6.66772397553382e-127	0.566788048471828	0.482	0.335	2.44045365228514e-122	"S6"	"PLAAT3"
7.93953408123798e-127	0.612404570511346	0.276	0.155	2.90594886907391e-122	"S6"	"AP002490.1"
1.21175435848205e-126	0.572456067412193	0.487	0.339	4.43514212748015e-122	"S6"	"RDH10"
2.50942086855068e-126	0.361699136795168	0.745	0.595	9.18473132098234e-122	"S6"	"GOLGA3"
8.38572496754737e-126	0.404351732083242	0.831	0.704	3.06925919537201e-121	"S6"	"PCDH18"
1.98082372988295e-125	0.298165276998336	0.878	0.75	7.25001293374459e-121	"S6"	"VAMP3"
3.43046876685508e-125	0.350436494861154	0.731	0.565	1.25558587335663e-120	"S6"	"CDC42BPB"
2.56857418142048e-124	0.46440775684999	0.575	0.419	9.40123836141709e-120	"S6"	"NXN"
4.07429381524419e-124	0.317368814848008	0.856	0.726	1.49123227931753e-119	"S6"	"SMARCC2"
4.83470768557275e-124	0.377684429775791	0.712	0.539	1.76955135999648e-119	"S6"	"PIGP"
1.43192312813361e-123	0.594230912357853	0.291	0.168	5.24098184128181e-119	"S6"	"LINC02614"
1.86476003271376e-123	0.528841846859526	0.418	0.275	6.82520819573562e-119	"S6"	"ZNF667-AS1"
2.19847849757277e-123	0.48736615253937	0.46	0.309	8.04665114896611e-119	"S6"	"APBB2"
