"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"short_desc"
"7"	"7"	"REACTOME_CONSTITUTIVE_SIGNALING_BY_OVEREXPRESSED_ERBB2"	"REACTOME_CONSTITUTIVE_SIGNALING_BY_OVEREXPRESSED_ERBB2"	"5/1991"	"11/17939"	0.00435224373489216	0.0289509717569611	0.0234466040738461	"HSP90AA1/CDC37/HRAS/NRAS/GRB2"	5	"Constitutivesignalingbyoverexpressederbb2."
"7"	"7"	"REACTOME_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION"	"REACTOME_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION"	"5/1991"	"11/17939"	0.00435224373489216	0.0289509717569611	0.0234466040738461	"SMC1A/ESCO2/CDCA5/RAD21/SMC3"	5	"Establishmentofsisterchromatidcohesion."
"7"	"7"	"REACTOME_PYRIMIDINE_SALVAGE"	"REACTOME_PYRIMIDINE_SALVAGE"	"5/1991"	"11/17939"	0.00435224373489216	0.0289509717569611	0.0234466040738461	"TK1/DCK/UCK2/CDA/PUDP"	5	"Pyrimidine salvage"
"7"	"7"	"GOBP_L_AMINO_ACID_BIOSYNTHETIC_PROCESS"	"GOBP_L_AMINO_ACID_BIOSYNTHETIC_PROCESS"	"14/1991"	"59/17939"	0.0044166459868894	0.0293217039426241	0.0237468499808797	"MTHFD1/SHMT1/SEPHS1/GOT2/ADI1/PYCR3/MTAP/GLUD1/ASL/ENOPH1/APIP/PCBD2/MTHFD2L/PYCR2"	14	"L amino acid biosynthetic process"
"7"	"7"	"GOBP_MODULATION_BY_HOST_OF_SYMBIONT_PROCESS"	"GOBP_MODULATION_BY_HOST_OF_SYMBIONT_PROCESS"	"18/1991"	"84/17939"	0.00442159018333004	0.0293217039426241	0.0237468499808797	"HMGA2/CAV2/NUCKS1/PSMC3/HSPA8/CFL1/CDC42/SMARCA4/TARDBP/DDX56/SMARCB1/SAP30/RRP1B/CCNK/CHD1/FASN/ZDHHC8/TFAP4"	18	"Modulation by host of symbiont process"
"7"	"7"	"GOBP_NUCLEOTIDE_EXCISION_REPAIR"	"GOBP_NUCLEOTIDE_EXCISION_REPAIR"	"18/1991"	"84/17939"	0.00442159018333004	0.0293217039426241	0.0237468499808797	"RPA3/BRCA2/POLD1/POLA1/ACTB/RPA1/SMARCA4/RAD23A/ACTL6A/POLD3/RPA2/SMARCB1/GTF2H3/ERCC2/CUL4A/GTF2H2/OGG1/USP7"	18	"Nucleotide excision repair"
"7"	"7"	"REACTOME_RHOD_GTPASE_CYCLE"	"REACTOME_RHOD_GTPASE_CYCLE"	"13/1991"	"53/17939"	0.00442211592914077	0.0293217039426241	0.0237468499808797	"DIAPH3/LMNB1/RACGAP1/TMPO/DIAPH1/EFHD2/CAV1/LBR/HINT2/ESYT1/AKAP12/VANGL1/STBD1"	13	"Rhod gtpase cycle"
"7"	"7"	"GOCC_CENTRIOLAR_SATELLITE"	"GOCC_CENTRIOLAR_SATELLITE"	"24/1991"	"124/17939"	0.00460744059844131	0.0305261339968616	0.0247222851011035	"CENPU/TACC3/PLK1/SPAG5/KNSTRN/SKA1/CCDC18/PODXL/ITGB1BP1/TPGS2/NUDT21/SSX2IP/KIF5B/AK5/PCNT/FLOT1/PACSIN2/BBS7/RPP25/MPP1/FRMD8/KRT18/CCDC61/UPF3B"	24	"Centriolar satellite"
"7"	"7"	"GOBP_REGULATION_OF_EMBRYONIC_DEVELOPMENT"	"GOBP_REGULATION_OF_EMBRYONIC_DEVELOPMENT"	"19/1991"	"91/17939"	0.0047408048633102	0.0313846578939809	0.0254175802391277	"RACGAP1/CDK1/PHLDA2/RUVBL2/CFL1/UCHL5/RUVBL1/ACTL6A/WDR5/INO80E/NIBAN2/RBM19/INO80C/DAG1/UTP25/MCRS1/CLASP2/NOCT/TADA2A"	19	"Regulation of embryonic development"
"7"	"7"	"GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION"	"GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION"	"47/1991"	"290/17939"	0.00502104657272995	0.0331833161857334	0.026874264635938	"PBK/PLK1/DKK1/ENPP1/CORO1C/UBASH3B/ITGB1BP1/PRKDC/CALM3/PRDX3/CALM1/HNRNPU/CAV1/DYNLL1/CALM2/PPIA/EIF4G1/SLIT2/NF2/TARDBP/TARBP2/GPRC5A/SLC8A1/MYADM/PRKAR2A/APC/AKT1/PPP2R5D/CNKSR3/HYAL2/CDKN2D/NR2F2/INHBA/DUSP3/CDKN2C/CDK5RAP1/PPARG/SFRP1/PPM1F/SPRY2/TFAP4/PRKAR1B/DBNDD2/BAK1/PRKCD/DVL1/DUSP10"	47	"Negative regulation of phosphorylation"
