"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
1.10941871968681e-54	0.777416966704619	0.809	0.637	4.06058345592571e-50	"0"	"FAM20A"
1.02279324576848e-53	0.887265892639112	0.808	0.698	3.7435255588372e-49	"0"	"CTSK"
3.84649352342925e-53	0.545419557925213	0.945	0.909	1.40785509451034e-48	"0"	"HEXA"
6.73022723331402e-53	2.03899438915677	0.259	0.094	2.46333046966526e-48	"0"	"RASD1"
8.40246294977989e-53	0.653807190395994	0.927	0.906	3.07538546424894e-48	"0"	"EIF1B"
1.07735737392993e-52	0.906792041936789	0.762	0.615	3.94323572432095e-48	"0"	"GFPT2"
1.25128441044728e-52	1.69808061829177	0.526	0.328	4.57982607067809e-48	"0"	"CD74"
2.36142739399705e-52	0.586309304961	0.876	0.805	8.64306040476858e-48	"0"	"HEXB"
3.75408809186715e-52	1.27016739380348	0.534	0.312	1.3740337825043e-47	"0"	"BDKRB1"
1.76049284331499e-51	0.708949785867097	0.777	0.646	6.4435798558172e-47	"0"	"ZNF581"
2.37175620965222e-51	1.56617105953635	0.348	0.164	8.6808649029481e-47	"0"	"THNSL2"
8.37084868205323e-51	0.962668422883864	0.625	0.437	3.0638143261183e-46	"0"	"COL18A1"
9.69481826594512e-51	0.784380143756182	0.718	0.561	3.54840043351858e-46	"0"	"LETMD1"
4.30474616194802e-50	0.631442509721937	0.797	0.688	1.5755801427346e-45	"0"	"GAMT"
4.32083418630911e-50	0.753315423328424	0.866	0.809	1.581468520531e-45	"0"	"RAB31"
9.97123880501329e-50	0.565264660052099	0.944	0.9	3.64957311502292e-45	"0"	"ADD3"
4.6096875912142e-49	0.647199172085898	0.819	0.732	1.68719175526031e-44	"0"	"SCPEP1"
5.91505542239691e-49	0.508451525986428	0.927	0.882	2.16496943515149e-44	"0"	"CCNG1"
6.74592014143606e-49	0.572051563788998	0.958	0.932	2.46907423096701e-44	"0"	"MFGE8"
7.10703536822177e-49	0.867818838192504	0.626	0.421	2.60124601512285e-44	"0"	"TFPI"
7.555535685804e-49	1.60130149187807	0.41	0.211	2.76540161636112e-44	"0"	"COL15A1"
1.50485075846121e-48	1.09214295524887	0.586	0.404	5.50790426104387e-44	"0"	"GGT5"
4.78097771525163e-47	0.932181793377609	0.601	0.414	1.74988565355925e-42	"0"	"DDB2"
4.92971087269366e-47	2.1319170641968	0.268	0.108	1.80432347651461e-42	"0"	"HLA-DRA"
6.50062873476373e-47	0.583342752365416	0.857	0.806	2.37929512321087e-42	"0"	"TMEM35B"
1.04329019759645e-46	0.917335590343369	0.61	0.408	3.81854645222276e-42	"0"	"SELENBP1"
2.13365477692969e-46	1.00077498865998	0.557	0.371	7.80938984904037e-42	"0"	"IFFO1"
3.01034576565068e-46	0.867012173382446	0.688	0.53	1.10181665368581e-41	"0"	"FUT8"
7.23198702573801e-46	0.919416827778823	0.698	0.536	2.64697957129037e-41	"0"	"MEDAG"
7.62802835101593e-46	1.14659194287395	0.594	0.388	2.79193465675534e-41	"0"	"SFRP4"
1.38665364822868e-45	0.918312533731191	0.689	0.565	5.07529101788179e-41	"0"	"XG"
1.72135634684444e-45	1.52795613079886	0.341	0.162	6.30033636508533e-41	"0"	"PALM"
2.72382007854584e-45	0.7094577134957	0.833	0.77	9.96945386948564e-41	"0"	"FAM20C"
5.40280856150398e-45	0.550549036406771	0.873	0.805	1.97748196159607e-40	"0"	"SYF2"
6.42475186620037e-45	0.562042007403766	0.968	0.947	2.351523430548e-40	"0"	"CDKN1A"
1.30197815275832e-44	0.822157060392504	0.707	0.577	4.76537023691074e-40	"0"	"TRIM22"
2.29873586684396e-44	1.56576029614035	0.431	0.242	8.41360314623557e-40	"0"	"CXCL3"
4.70722598433975e-44	0.534878490522396	0.933	0.864	1.72289178252819e-39	"0"	"NT5E"
2.91970157625723e-43	0.708226942868167	0.732	0.608	1.06863997392591e-38	"0"	"TP53TG1"
5.53296596293967e-43	0.606274898277407	0.804	0.702	2.02512087209555e-38	"0"	"RNF130"
8.72358440110937e-43	0.562101106776465	0.89	0.827	3.19291912665004e-38	"0"	"PAM"
