"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"S6"	"S6"	"GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS"	"GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS"	"28/925"	"263/17939"	0.000230079437259504	0.00630216411246983	0.00503392675237528	"HIF1A/COL6A1/PKM/PGAM1/PFKL/PGK1/VCP/TGFB1/APP/HSPA1A/SMPDL3A/HSPA1B/PFKP/SLC2A6/MT-ATP8/IMPDH1/STAT3/HK1/MT-ATP6/ALDOC/CTPS1/FOXK1/PID1/EP300/ENO2/PRKAG2/SAMHD1/DDIT4"	28
"S6"	"S6"	"GOBP_NUCLEAR_TRANSPORT"	"GOBP_NUCLEAR_TRANSPORT"	"33/925"	"331/17939"	0.000230316886212915	0.00630216411246983	0.00503392675237528	"IFI27/ANGPT1/CALR/TGFB1/IL33/ZC3H12A/HTATIP2/NFKBIA/GAS6/PML/FLNA/MDFIC/PTPN11/UPF1/SUPT6H/STAT3/NUP214/PRICKLE1/BCL3/SMAD3/JAK2/UBR5/NUP98/NUP50/MCM3AP/NCBP1/RANGAP1/PIK3R1/SMG6/MDN1/TRAF3IP2/EP300/ZC3H11A"	33
"S6"	"S6"	"GOBP_OSSIFICATION"	"GOBP_OSSIFICATION"	"39/925"	"416/17939"	0.000235762559910833	0.00639979687622991	0.00511191205593596	"TWSG1/CTHRC1/HIF1A/COL6A1/HNRNPU/IL6ST/MGP/COL5A2/TGFB1/SFRP1/TPM4/FASN/CLEC11A/NAB1/ADAMTS12/LRP5/DHRS3/PTPN11/FAM20C/GREM1/HAND2/PENK/CAT/MYBBP1A/RUNX1/EGFR/PRICKLE1/SMAD3/PBX1/THRA/GJA1/ID3/SBNO2/FSTL3/DKK1/MDK/LGR4/IL6/COMP"	39
"S6"	"S6"	"GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION"	"GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION"	"31/925"	"304/17939"	0.000237028286569307	0.00639979687622991	0.00511191205593596	"ANGPT1/S100A4/TGFB1/HDAC1/SLC39A8/ZC3H12A/BST2/OPTN/NFKBIA/FLNA/RORA/LPAR1/RIOK3/TICAM1/TFRC/SIRPA/GPRC5B/TRIM8/CFLAR/TNFAIP3/NFKB1/BCL3/GJA1/CANT1/LITAF/ATP2C1/TNIP1/TRAF5/TRAF3IP2/EP300/HMOX1"	31
"S6"	"S6"	"REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP"	"REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP"	"9/925"	"42/17939"	0.000237088845477353	0.00639979687622991	0.00511191205593596	"CYP51A1/FASN/LSS/FDFT1/SQLE/HMGCS1/SREBF2/HMGCR/MVD"	9
"S6"	"S6"	"WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER"	"WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER"	"9/925"	"42/17939"	0.000237088845477353	0.00639979687622991	0.00511191205593596	"ACLY/PKM/PFKL/FASN/HK1/LDLR/SLC16A1/DLAT/HMGCR"	9
"S6"	"S6"	"REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"	"REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"	"22/925"	"186/17939"	0.000243424427486863	0.00654869082700348	0.00523084282776129	"COPG1/KDELR2/CTSZ/ARCN1/B4GALT1/COPA/COPB2/GBF1/FUT8/USO1/MAN1A1/DCTN1/SEC23A/B4GALT4/SEC23IP/NSF/SEC24C/SEC24A/B4GALT5/ARFGAP1/SEC24B/TUBB2A"	22
"S6"	"S6"	"GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT"	"GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT"	"30/925"	"291/17939"	0.000245861510788583	0.00659205862819054	0.0052654833624556	"HIF1A/ITGB1/IL6ST/THBS2/TGFB1/HDAC1/IL33/MACF1/METRN/WNT2/CYFIP1/SLIT2/NPTN/TGM2/SRF/CRABP2/CUX1/SPEN/SEMA5A/FLRT2/EGFR/PRKCI/IQSEC2/FXR2/LIMK1/EPHA4/SLC30A1/MDK/IL6/CXCL12"	30
"S6"	"S6"	"HALLMARK_MITOTIC_SPINDLE"	"HALLMARK_MITOTIC_SPINDLE"	"23/925"	"199/17939"	0.000250050669226869	0.00660809368805362	0.00527829155268679	"MYH9/FLNB/DST/VCL/ACTN4/NUMA1/FLNA/CTTN/ITSN1/MYH10/CD2AP/ARHGEF12/MYO9B/EPB41L2/SUN2/NET1/MID1/STK38L/RAPGEF6/PDLIM5/RASAL2/TUBGCP5/MAP3K11"	23
"S6"	"S6"	"WP_CIRCADIAN_RHYTHM_GENES"	"WP_CIRCADIAN_RHYTHM_GENES"	"23/925"	"199/17939"	0.000250050669226869	0.00660809368805362	0.00527829155268679	"HNRNPU/HDAC1/SFPQ/NAMPT/PML/NAGLU/RORA/NRIP1/HNRNPD/FAS/MYBBP1A/ARNT/ID3/CCAR2/CPT1A/SIN3A/KCNMA1/EP300/LGR4/CRTC1/IL6/BHLHE40/SERPINE1"	23
