"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"short_desc"
"5"	"5"	"KEGG_OOCYTE_MEIOSIS"	"KEGG_OOCYTE_MEIOSIS"	"32/2069"	"112/17939"	7.32057134321311e-07	1.17581377558944e-05	9.74092687570807e-06	"PKMYT1/MAD2L1/CDK1/CDC20/CDK2/CCNB1/FBXO5/CCNE2/CCNB2/SGO1/AURKA/BUB1/PLK1/PTTG1/SMC1A/CALM1/YWHAH/CCNE1/YWHAQ/RBX1/CALM2/SMC3/CALM3/YWHAZ/PPP1CA/MAD2L2/ITPR3/ANAPC7/PPP3R1/CDC23/ANAPC1/PPP2R1B"	32	"Oocyte meiosis"
"5"	"5"	"GOCC_TRANSFERASE_COMPLEX_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS"	"GOCC_TRANSFERASE_COMPLEX_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS"	"64/2069"	"301/17939"	8.11127404010474e-07	1.30030443186265e-05	1.07722588813722e-05	"MCM3/POLA2/PRIM1/CKS2/CDK1/PRIM2/POLD3/PCNA/CDK2/POLD1/CCNA2/CCNB1/CCNE2/POLE2/CCNB2/POLA1/POLE/DNA2/DBF4/PRKDC/CCND1/CCND3/POLE3/CKS1B/POLR2L/XRCC5/CCNE1/POLR3K/POLD2/XRCC6/PFKP/POLR2E/PRPS1/POLR3G/PRPS2/MAD2L2/BCCIP/POLR2D/PRIMPOL/ERCC2/GTF2H3/LAS1L/POLR1E/CCNQ/TAF5/PRKAR1B/RB1/POLR3H/GTF2H2/POLR2C/PRKAR2A/TAF6/CDK6/POLR1A/IRS1/GTF2F2/POLR1C/IKBKG/RPAP1/GTF2H2C/TAF9B/SOCS4/CHUK/CDKN2D"	64	"Transferascmplxtrnsfrrngphsphrscntnnggrps."
"5"	"5"	"GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS"	"GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS"	"21/2069"	"58/17939"	8.67055425461196e-07	1.38728868073791e-05	1.14928723196759e-05	"DCK/PAICS/HPRT1/PNP/PFAS/UCK2/GMPS/PPAT/ATIC/UMPS/PRPS1/ADK/PRPS2/CAD/GART/TJP2/CDA/IMPDH1/MAGI3/MPP1/RFK"	21	"Ribonucleosidmonophosphatmetabolicprocess."
"5"	"5"	"GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR"	"GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR"	"28/2069"	"92/17939"	8.81240223848081e-07	1.40727805420653e-05	1.1658472544211e-05	"RAD51AP1/TIMELESS/FOXM1/SLF1/FANCB/FUS/DDX11/PRKDC/PARP1/ACTB/FMN2/YEATS4/UBE2N/SKP2/WRAP53/RUVBL2/RIF1/ACTL6A/MAD2L2/SMARCA4/RNF126/SLF2/SMCHD1/RUVBL1/BCL7B/SMARCC1/PNKP/ERCC6"	28	"Pos. reg. double strand break repair"
"5"	"5"	"REACTOME_INFLUENZA_INFECTION"	"REACTOME_INFLUENZA_INFECTION"	"40/2069"	"157/17939"	8.94118169844472e-07	1.4251078875682e-05	1.18061822467062e-05	"RAN/HSP90AA1/RPL39L/PARP1/CALR/RPL22L1/POLR2L/KPNB1/NUP205/NUP107/KPNA2/NDC1/NUP62/NUP155/NUP85/NUP50/NUP188/POLR2E/NUP35/NUP153/NUP93/XPO1/POLR2D/RPL26L1/IPO5/NUP88/NUP58/NUP160/SEH1L/NUP43/NUP37/KPNA3/NUP54/AAAS/NUP214/KPNA4/POLR2C/RAE1/GTF2F2/POM121"	40	"Influenza infection"
"5"	"5"	"REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH"	"REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH"	"18/2069"	"45/17939"	9.58330678816643e-07	1.52453369937944e-05	1.26298667301829e-05	"LMNB1/POLA2/PRIM1/PRIM2/EZH2/CDC25A/DNMT1/POLA1/PRDX1/C1QBP/LMNA/CAPN2/RBBP7/SUZ12/RBBP4/EED/TRAF2/CDC25B"	18	"Diseases of programmed cell death"
"5"	"5"	"GOCC_PERICENTRIC_HETEROCHROMATIN"	"GOCC_PERICENTRIC_HETEROCHROMATIN"	"14/2069"	"29/17939"	1.01330502412236e-06	1.60891179402634e-05	1.33288897106332e-05	"HELLS/NCAPD3/EZH2/ESCO2/DNMT1/CENPA/POLE3/CBX5/INCENP/BAZ1B/CBX1/LRWD1/BAZ1A/CENPB"	14	"Pericentric heterochromatin"
"5"	"5"	"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION"	"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION"	"17/2069"	"41/17939"	1.04967500846577e-06	1.66348496579718e-05	1.37809964018724e-05	"PSMD2/PSMC3/PSMA7/PSMB3/PSMD14/PSMD1/PSMA2/PSMD11/PSMA3/PSMC5/ADRM1/PSMB2/PSMD13/PSMD12/PSMB7/PSMD6/PSMC4"	17	"Mdcsvrntmttncsdabrrntsd1t26sprtsmmdtdprtd."
"5"	"5"	"GOBP_TELOMERE_MAINTENANCE_IN_RESPONSE_TO_DNA_DAMAGE"	"GOBP_TELOMERE_MAINTENANCE_IN_RESPONSE_TO_DNA_DAMAGE"	"15/2069"	"33/17939"	1.0987415387622e-06	1.73793338450599e-05	1.43977578463376e-05	"CDK2/DCLRE1B/ACD/UCHL5/RUVBL2/PPP1CA/RIF1/ACTL6A/MAD2L2/RUVBL1/RTEL1/INO80E/XRCC1/INO80C/TERF2"	15	"Telomeremaintenanceinresponsetodnadamage."
"5"	"5"	"REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC"	"REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC"	"8/2069"	"10/17939"	1.12243375860508e-06	1.7720396340786e-05	1.46803081021593e-05	"CCT6A/ACTB/CCT5/CCT2/CCT8/CCT7/TCP1/CCT3"	8	"Folding of actin by cct tric"
"5"	"5"	"GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS"	"GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS"	"25/2069"	"78/17939"	1.15478761638229e-06	1.81966533490542e-05	1.50748590751021e-05	"LIG1/MSH2/NSD2/ATAD5/EXO1/POLQ/HMGB1/HMGB2/PRKDC/HSPD1/MSH6/UNG/RIF1/EXOSC3/MAD2L2/HMCES/PAXIP1/MLH1/TCF3/XRCC4/TFRC/CYREN/EXOSC6/DCAF1/LIG3"	25	"Somaticdiversificationofimmunereceptors."
"5"	"5"	"GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS"	"GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS"	"56/2069"	"254/17939"	1.18030558220544e-06	1.85635963023615e-05	1.53788497707317e-05	"BRCA1/TPX2/DIAPH3/STMN1/HAUS8/TACC3/STIL/SKA3/CENPJ/AURKA/HAUS5/SKA1/PLK4/SPAG5/XRCC3/PLK1/KIF18A/CKAP2/SASS6/GEN1/MET/HAUS6/NUP62/SKA2/DIAPH1/RBM14/HAUS3/HNRNPU/HAUS2/HAUS1/XPO1/PAK1/MKKS/CEP295/FKBP4/MAPRE1/CDK2AP2/CFAP20/CKAP5/NAT10/ROCK1/GPSM2/TBCD/CEP131/HAUS4/APC/MEMO1/CEP97/TRIM37/CDK5RAP2/RAE1/CHORDC1/CLASP2/ALMS1/KATNB1/FES"	56	"Regulation of microtubule based process"
"5"	"5"	"GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION"	"GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION"	"21/2069"	"59/17939"	1.20072167496142e-06	1.88135674871545e-05	1.55859362229109e-05	"CDC6/RRM2/RRM1/EZH2/CCNE2/STIL/CENPJ/FAM83D/CCND1/CCND3/SASS6/TFDP1/CCNE1/EIF4G1/CPSF3/TBX2/AKT1/PAGR1/RDX/ADAMTS1/PLCB1"	21	"Pos.reg.cellcycleg1sphasetransition."
"5"	"5"	"GOBP_RIBOSOME_ASSEMBLY"	"GOBP_RIBOSOME_ASSEMBLY"	"21/2069"	"59/17939"	1.20072167496142e-06	1.88135674871545e-05	1.55859362229109e-05	"PRKDC/C1QBP/XRCC5/EIF1AX/RRP7A/BRIX1/EIF5B/MRM2/BOP1/EIF6/MPV17L2/RRS1/MTERF3/NIP7/NOP2/ERAL1/PPAN/EFL1/MDN1/METTL17/DHX37"	21	"Ribosome assembly"
"5"	"5"	"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	"31/2069"	"109/17939"	1.21007521219819e-06	1.89244845215957e-05	1.56778244746216e-05	"LSM4/FUS/EXOSC9/CALR/CKS1B/NHP2/EXOSC2/SPCS3/NOLC1/NOP56/EIF2S1/BANF1/GEMIN4/YWHAZ/TUBB2A/EIF4G1/DKC1/EIF4E/KDELR3/HSPA5/KHSRP/EXOSC10/RRP9/EIF4A3/EDC4/POP4/NOP14/DDX10/HYOU1/EXOSC4/PREB"	31	"Unfolded protein response"
"5"	"5"	"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS"	"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS"	"37/2069"	"142/17939"	1.26403715034899e-06	1.97313116152037e-05	1.63462333573322e-05	"CDK1/PLK1/RAN/ECT2/HSP90AA1/PARP1/CCT6A/CCT5/CCT2/LMNA/YWHAZ/FERMT1/NF2/CCT8/DKC1/TRIM28/CCT7/TCP1/CCT3/PIN1/FBXO4/SUMO3/IPO5/NUP58/AKT1/PINX1/BYSL/NUP54/HYAL2/TARDBP/ZPR1/MFHAS1/MTOR/TFRC/POLR1A/PRKCD/CARD10"	37	"Regulationofproteinlocalizationtonucleus."
"5"	"5"	"WP_CILIARY_LANDSCAPE"	"WP_CILIARY_LANDSCAPE"	"48/2069"	"206/17939"	1.29675467942388e-06	2.02041178516979e-05	1.6737925568436e-05	"MCM5/MCM2/MCM3/MCM7/MCM4/MCM6/MCM10/MSH2/MCM8/LSM4/EXOSC9/CALM1/SMC4/ZMYND19/EXOSC2/NUDC/MYL6/COPS3/COPS6/ARHGDIA/CNOT9/RBM14/DOCK5/EIF5B/WEE1/GLA/APMAP/RAB8A/PSMD13/PSMD12/IQGAP1/RNGTT/EFTUD2/NUP88/PSMC4/RB1/NDUFA9/BBS7/VPS4A/EXOSC4/APC/CEP97/EIPR1/DYNLL2/CNOT10/DYNC1LI1/TBC1D4/POM121"	48	"Ciliary landscape"
