"simple_id"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"proximity"
"P:r1@SUMO2"	0	0.614834693061931	0.997	0.992	0	"1"	"SUMO2"	"P"
"P:r1@ADD1"	0	0.615223705405183	0.885	0.734	0	"1"	"ADD1"	"P"
"P:r1@YBX3"	0	0.615957777734322	0.998	0.966	0	"3"	"YBX3"	"P"
"P:r1@PIGT"	0	0.616008844886868	0.931	0.757	0	"1"	"PIGT"	"P"
"P:r1@LRPAP1"	0	0.616929104180297	0.973	0.883	0	"1"	"LRPAP1"	"P"
"P:r1@RAC1"	0	0.617607598584368	0.995	0.98	0	"1"	"RAC1"	"P"
"P:r1@SPTBN1"	0	0.619498445939297	0.973	0.893	0	"2"	"SPTBN1"	"P"
"P:r1@IAH1"	0	0.620384599471824	0.87	0.722	0	"1"	"IAH1"	"P"
"P:r1@PTCD1,r1@ATP5MF,r1@ATP5MF-PTCD1"	0	0.621079483182903	1	0.993	0	"4"	"PTCD1,r1@ATP5MF,r1@ATP5MF-PTCD1"	"P"
"P:r1@RGS10"	0	0.621233177504853	0.882	0.702	0	"1"	"RGS10"	"P"
"P:r1@RALY"	0	0.621591441147105	0.885	0.737	0	"1"	"RALY"	"P"
"P:r1@NDUFS7"	0	0.623106445230636	0.965	0.902	0	"4"	"NDUFS7"	"P"
"P:r1@FBLN1"	0	0.623890816133098	0.974	0.902	0	"0"	"FBLN1"	"P"
"P:r1@PGD"	0	0.625774376498689	0.998	0.963	0	"2"	"PGD"	"P"
"P:r1@RHOBTB3"	0	0.626298390667242	0.99	0.929	0	"2"	"RHOBTB3"	"P"
"P:r1@METTL26"	0	0.626966416107659	0.971	0.895	0	"1"	"METTL26"	"P"
"P:r1@HLA-E"	0	0.627692409406575	0.886	0.712	0	"1"	"HLA-E"	"P"
"P:r1@WASHC3"	0	0.628259433101799	0.879	0.704	0	"1"	"WASHC3"	"P"
"P:r1@SEPTIN11"	0	0.629793607717817	0.958	0.934	0	"1"	"SEPTIN11"	"P"
"P:r1@MRPL41"	0	0.63168205448737	0.997	0.972	0	"4"	"MRPL41"	"P"
"P:r1@CALD1"	0	0.632920488297115	0.998	0.948	0	"3"	"CALD1"	"P"
"P:r1@ATP5F1D"	0	0.633767794190811	0.999	0.991	0	"4"	"ATP5F1D"	"P"
"P:r1@FBN1"	0	0.634240028876212	0.927	0.748	0	"1"	"FBN1"	"P"
"P:r1@SDHD,r1@AP002884.2"	0	0.634370718736905	0.969	0.906	0	"4"	"SDHD,r1@AP002884.2"	"P"
"P:r1@GCSH,r1@AC092718.3,r1@AC092718.8"	0	0.639837006409482	0.962	0.869	0	"2"	"GCSH,r1@AC092718.3,r1@AC092718.8"	"P"
"P:r1@ATP5F1C"	0	0.640175448893878	0.995	0.964	0	"4"	"ATP5F1C"	"P"
"P:r1@ATP5PB"	0	0.641371991885401	0.991	0.96	0	"4"	"ATP5PB"	"P"
"P:r1@PSMD2"	0	0.641467554985844	0.919	0.788	0	"1"	"PSMD2"	"P"
"P:r1@UQCRQ"	0	0.641851255996263	1	0.997	0	"4"	"UQCRQ"	"P"
