Cluster	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
s1	Fe-S cluster biosynthesis	Fe-S cluster biosynthesis	22	0.644651754152558	1.65214060083741	0.0091381022027026	0.0452095582660023	0.0318947611507071	4952	tags=64%, list=27%, signal=46%	NFU1/GRPEL1/FXN/ISCA1/NFS1/HSPA9/GLRX5/NUBPL/NDUFAB1/BOLA3/ABCB7/BOLA1/GRPEL2/FDX1
s2	Coenzyme Q metabolism	Coenzyme Q metabolism	13	0.657281828674981	1.7141912427546	0.0110118066064288	0.0459814695583452	0.0247156835252024	2665	tags=62%, list=15%, signal=52%	COQ2/PDSS1/COQ3/PDSS2/COQ9/COQ5/COQ6/COQ7
s2	Mitochondrial ribosome assembly	Mitochondrial ribosome assembly	23	0.566962116453893	1.70833913206326	0.0112968180715364	0.0459814695583452	0.0247156835252024	6175	tags=74%, list=34%, signal=49%	MIEF1/MALSU1/DDX28/PTCD3/FASTKD2/NSUN4/GTPBP10/MTERF3/MRM3/ERAL1/GRSF1/YBEY/MTERF4/NOA1/TFB1M/TRMT61B/MPV17L2
s2	GABA metabolism	GABA metabolism	7	0.774981982729693	1.70113142301588	0.0117399496744711	0.0459814695583452	0.0247156835252024	2307	tags=71%, list=13%, signal=62%	ALDH5A1/GLUD2/ALDH9A1/GLUD1/ADHFE1
s2	ROS and glutathione metabolism	ROS and glutathione metabolism	27	0.532122872251417	1.63154895260479	0.0124060555593168	0.0466467689030311	0.0250732912356718	4157	tags=63%, list=23%, signal=49%	PRXL2A/ALDH9A1/GLRX2/CAT/MSRA/MGST1/PRDX6/ALDH3A2/PRDX3/AIFM2/TXN2/PRDX2/NIT1/ALDH7A1/OXR1/SOD1/HAGH
s6	Nucleotide synthesis and processing	Nucleotide synthesis and processing	24	0.596555635118824	1.71061829656673	0.00745710217137935	0.0467311736073106	0.0329682411787298	4672	tags=58%, list=26%, signal=43%	NME3/GUK1/FHIT/NT5M/SUCLA2/NME4/AK4/SUCLG1/DTYMK/AK3/DHODH/SUCLG2/NME6/NUDT9
s6	Selenoproteins	Selenoproteins	5	0.862480465209327	1.65586171946447	0.00706301965724827	0.0467311736073106	0.0329682411787298	931	tags=80%, list=5%, signal=76%	GPX1/GPX4/TXNRD2/SELENOO
s5	Glyoxylate metabolism	Glyoxylate metabolism	6	0.828546193674817	1.64816871241208	0.0115774873559461	0.0473166874547364	0.0302021409285551	2568	tags=67%, list=14%, signal=57%	AGXT/ALDH4A1/HOGA1/GRHPR
s6	CI assembly factors	CI assembly factors	22	0.595008446279678	1.68222164323656	0.00844055854445267	0.0475185507286143	0.0335237255980145	4930	tags=64%, list=27%, signal=46%	ECSIT/NDUFAF3/TIMMDC1/DMAC2/FOXRED1/AIFM1/ACAD9/NDUFAF5/NUBPL/NDUFAF1/COA1/NDUFAF7/NDUFAF2/DMAC1
s6	ROS and glutathione metabolism	ROS and glutathione metabolism	27	0.557070706502491	1.64792305306124	0.0085937804509196	0.0475185507286143	0.0335237255980145	4799	tags=70%, list=27%, signal=52%	GPX1/GPX4/TXNRD2/PRDX2/PRDX5/ALDH9A1/HAGH/AIFM2/CAT/SOD1/PRDX6/PRXL2A/ALDH3A2/PRDX3/TXN2/MSRA/MGST1/PRDX4/NIT1
s2	mtRNA stability and decay	mtRNA stability and decay	17	0.610270772592852	1.67873824564803	0.0131832835350237	0.0476626404727778	0.0256193364243375	4455	tags=76%, list=25%, signal=58%	LACTB2/SLIRP/LRPPRC/FASTKD5/FASTKD2/FASTKD1/PNPT1/SUPV3L1/FASTKD3/MTPAP/PDE12/ENDOG/GRSF1
s5	Gluconeogenesis	Gluconeogenesis	8	0.771380748104504	1.6612309804921	0.0132385796536382	0.0489059505684539	0.0312165641926301	2229	tags=75%, list=12%, signal=66%	SLC25A1/SLC25A10/PC/SLC25A11/MPC2/MDH2
