"cluster"	"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"short_desc"	"time"
"4"	"4"	"GOBP_ALCOHOL_METABOLIC_PROCESS"	"GOBP_ALCOHOL_METABOLIC_PROCESS"	"52/741"	"361/17939"	2.98426623118578e-15	2.27387366052075e-13	2.0021483668391e-13	"SC5D/IDH2/FDFT1/LDLR/PGP/ALDH1B1/MPDU1/PMVK/ALDH3A2/SLC5A3/IDH3A/QDPR/ADH1B/AKR1C2/LSS/CYP51A1/DHCR7/IDH1/STARD4/ACADVL/DHCR24/SPR/CAT/MSMO1/FDPS/HMGCR/ACO2/ACLY/LPCAT3/RDH5/SREBF1/EBP/OSBPL1A/HMGCS1/ACAA2/IDI1/ACER3/PCBD1/MVD/INSIG1/NSDHL/RETSAT/PCSK9/DGAT1/APOE/PNPLA2/PECR/CEBPA/DGAT2/TM7SF2/LIPE/RBP4"	52	"Alcohol metabolic process"	"day3"
"4"	"4"	"GOMF_LIGASE_ACTIVITY"	"GOMF_LIGASE_ACTIVITY"	"32/741"	"145/17939"	4.40446242097813e-15	3.31786152143909e-13	2.92138087611528e-13	"AACS/FARSB/SUCLA2/ASS1/ATP5F1D/ATP5F1C/MT-ATP6/ATP5PO/ATP5F1A/PC/ATP6V1A/ATP5PB/ATP5MG/ATP5MF/MT-ATP8/ATP5ME/YARS2/ATP5F1B/MCCC2/SUCLG1/NAPRT/ATP5PF/GCLC/ACSL4/ACACA/SLC27A3/ACSL1/ACACB/MTHFD1/ACSS2/ACSL5/ACSF2"	32	"Ligase activity"	"day3"
"4"	"4"	"GOBP_ORGANIC_ACID_CATABOLIC_PROCESS"	"GOBP_ORGANIC_ACID_CATABOLIC_PROCESS"	"42/741"	"248/17939"	5.10842622539308e-15	3.8049165672057e-13	3.35023340269717e-13	"ILVBL/HSD17B10/BCKDHB/LONP2/ETFB/MTLN/HSD17B4/ECHDC1/HIBCH/HADHA/MPST/ECH1/DCXR/DECR1/HADHB/MCCC2/QDPR/TST/ECHS1/ACADVL/ACADM/FAH/ACOX1/KYAT3/GCSH/AKT2/ETFA/DLD/CSAD/ACADS/ETFDH/ECHDC2/NUDT8/ACAA2/ACAT2/ACACB/LPIN1/SHMT1/HADH/GPT2/CDO1/ADIPOQ"	42	"Organic acid catabolic process"	"day3"
"4"	"4"	"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES"	"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES"	"28/741"	"111/17939"	6.11562053277069e-15	4.50449427908188e-13	3.96621238060976e-13	"HSD17B10/SC5D/FDFT1/PMVK/ELOVL5/LSS/CYP51A1/DHCR7/DHCR24/MSMO1/FDPS/HMGCR/HSD17B12/SREBF1/EBP/OSBPL1A/HMGCS1/IDI1/ACAT2/MVD/ACSL1/NSDHL/PCSK9/ACOT2/NR1H3/ACOT1/TM7SF2/SCD"	28	"Cholesterolbiosynthesispathwayinhepatcyts."	"day3"
"4"	"4"	"GOCC_RESPIRATORY_CHAIN_COMPLEX_IV"	"GOCC_RESPIRATORY_CHAIN_COMPLEX_IV"	"15/741"	"26/17939"	7.65632176878172e-15	5.5773359346433e-13	4.91085068917231e-13	"COX6A1/COA6/NDUFA4/MT-CO2/MT-CO1/COX6B1/COX6C/COX7C/COX5B/COX8A/UQCRC2/COX7A2/COX5A/UQCRFS1/COX7B"	15	"Respiratory chain complex iv"	"day3"
"4"	"4"	"GOBP_FATTY_ACID_CATABOLIC_PROCESS"	"GOBP_FATTY_ACID_CATABOLIC_PROCESS"	"27/741"	"106/17939"	1.44133898770019e-14	1.0385474075505e-12	9.14442183844114e-13	"ILVBL/HSD17B10/LONP2/ETFB/MTLN/HSD17B4/ECHDC1/HADHA/ECH1/DECR1/HADHB/ECHS1/ACADVL/ACADM/ACOX1/AKT2/ETFA/ACADS/ETFDH/ECHDC2/NUDT8/ACAA2/ACAT2/ACACB/LPIN1/HADH/ADIPOQ"	27	"Fatty acid catabolic process"	"day3"
"4"	"4"	"GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS"	"GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS"	"47/741"	"316/17939"	1.97301294412452e-14	1.40635514049478e-12	1.23829731467691e-12	"GLO1/MAT2A/SUCLA2/HSD17B4/PMVK/ELOVL5/MPST/PDHB/SUOX/TST/SUCLG1/DSEL/IDH1/PAPSS1/MPC2/ELOVL1/DLD/CSAD/GCLC/PDHA1/HSD17B12/GLRX2/ACSL4/ACACA/TECR/ACLY/HAGH/NUDT8/HMGCS1/STAT5A/SLC25A1/MVD/ACSL1/ACACB/HACD2/APIP/DGAT1/MTHFD1/ACOT2/ACSS2/ACOT1/ACSL5/CDO1/DGAT2/DLAT/GPAM/ACSF2"	47	"Sulfur compound metabolic process"	"day3"
"4"	"4"	"REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF"	"REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF"	"20/741"	"55/17939"	2.10116853903238e-14	1.48177087715379e-12	1.3047009573275e-12	"SC5D/FDFT1/PMVK/LSS/CYP51A1/DHCR7/RXRA/FDPS/HMGCR/ACACA/SREBF1/HMGCS1/IDI1/MVD/INSIG1/ACACB/FASN/GPAM/TM7SF2/SCD"	20	"Regulationofcholesterolbsynthssbysrbpsrbf."	"day3"
"4"	"4"	"REACTOME_MITOCHONDRIAL_BIOGENESIS"	"REACTOME_MITOCHONDRIAL_BIOGENESIS"	"25/741"	"94/17939"	4.66039974933276e-14	3.25197788824493e-12	2.8633702615014e-12	"IDH2/IMMT/ATP5MC1/ATP5F1D/ATP5F1C/MT-ATP6/ATP5PO/ATP5F1A/TFAM/ATP5PB/SAMM50/ATP5MG/ATP5MF/MT-ATP8/ATP5ME/HSPA9/ATP5F1B/ESRRA/ATP5MC3/RXRA/CHCHD3/ATP5PF/CYCS/ACSS2/ALAS1"	25	"Mitochondrial biogenesis"	"day3"
"4"	"4"	"WP_FATTY_ACID_BETAOXIDATION"	"WP_FATTY_ACID_BETAOXIDATION"	"16/741"	"34/17939"	6.73605634511114e-14	4.60343479502492e-12	4.05332961840926e-12	"HADHA/DECR1/HADHB/ECHS1/ACADVL/ACADM/DLD/ACADS/ACSL4/ACSL1/ACSS2/PNPLA2/HADH/ACSL5/LIPE/LPL"	16	"Fatty acid betaoxidation"	"day3"
"4"	"4"	"WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY"	"WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY"	"16/741"	"34/17939"	6.73605634511114e-14	4.60343479502492e-12	4.05332961840926e-12	"COX6A1/COA6/NDUFA4/MT-CO2/COA3/MT-CO1/COX6B1/COX6C/COX7C/COX5B/COX8A/COX7A2/COX14/COX5A/COX17/COX7B"	16	"Mitochondrial complex iv assembly"	"day3"
"4"	"4"	"GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS"	"GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS"	"29/741"	"131/17939"	7.86083978894183e-14	5.27276962885521e-12	4.64267970750564e-12	"ILVBL/HSD17B10/LONP2/ETFB/MTLN/HSD17B4/ECHDC1/HADHA/ECH1/DCXR/DECR1/HADHB/ECHS1/ACADVL/ACADM/FAH/ACOX1/AKT2/ETFA/ACADS/ETFDH/ECHDC2/NUDT8/ACAA2/ACAT2/ACACB/LPIN1/HADH/ADIPOQ"	29	"Monocarboxylic acid catabolic process"	"day3"
"4"	"4"	"GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION"	"GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION"	"27/741"	"113/17939"	7.87455412968269e-14	5.27276962885521e-12	4.64267970750564e-12	"TOMM70/TIMM22/TIMM50/TMEM126A/IMMT/TOMM5/TIMM13/VDAC2/SAMM50/HSPA9/MTCH2/TIMM8B/TOMM40/AFG3L2/SLC25A5/RHOT1/PPIF/CHCHD3/GCLC/HSP90AA1/BOK/LETM1/ACAA2/HSPA1A/HK2/SLC25A4/CHCHD10"	27	"Mitochondrial membrane organization"	"day3"
"4"	"4"	"GOBP_THIOESTER_BIOSYNTHETIC_PROCESS"	"GOBP_THIOESTER_BIOSYNTHETIC_PROCESS"	"18/741"	"47/17939"	1.48281849377793e-13	9.8296037952539e-12	8.65497741894592e-12	"ELOVL5/PDHB/MPC2/ELOVL1/DLD/PDHA1/HSD17B12/ACSL4/ACACA/TECR/ACLY/SLC25A1/ACSL1/ACACB/HACD2/ACSS2/ACSL5/DLAT"	18	"Thioester biosynthetic process"	"day3"
"4"	"4"	"KEGG_FATTY_ACID_METABOLISM"	"KEGG_FATTY_ACID_METABOLISM"	"17/741"	"42/17939"	2.39509309436169e-13	1.57198733886373e-11	1.38413665536587e-11	"ALDH9A1/ALDH1B1/ALDH3A2/HADHA/HADHB/ADH1B/ECHS1/ACADVL/ACADM/ACOX1/ACADS/ACSL4/ACAA2/ACAT2/ACSL1/HADH/ACSL5"	17	"Fatty acid metabolism"	"day3"
