"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"abbrev_ID"
"3"	"3"	"WP_MACROPHAGESTIMULATING_PROTEIN_MSP_SIGNALING"	"WP_MACROPHAGESTIMULATING_PROTEIN_MSP_SIGNALING"	"8/245"	"108/17939"	0.000117376584178368	0.0035340697513787	0.00287590589653875	"PDGFRB/JUN/DUSP6/COL4A1/PIK3R1/ABL1/DUSP4/NDRG1"	8	"wpmacrophagestimulatingproteinmspsignlng."
"3"	"3"	"GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE"	"GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE"	"11/245"	"204/17939"	0.00011816137603972	0.0035340697513787	0.00287590589653875	"COL4A1/MYC/TMEM59L/SFRP1/TGFBR2/NRP1/SPRY1/PLXND1/CSF1/ABL1/SOX9"	11	"gobpmorphogenesisofabranchingstructure."
"3"	"3"	"GOBP_ENDOTHELIUM_DEVELOPMENT"	"GOBP_ENDOTHELIUM_DEVELOPMENT"	"9/245"	"138/17939"	0.000118563290262965	0.0035340697513787	0.00287590589653875	"S1PR3/LIPA/EDNRB/SLC40A1/GSTM3/TMEM100/NRP1/PDE4D/PTPRS"	9	"gobp endothelium development"
"3"	"3"	"GOBP_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION"	"GOBP_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION"	"5/245"	"36/17939"	0.000121684854238458	0.00360472602154544	0.00293340356871138	"PIK3R1/DLC1/APOD/ARHGAP6/BCL6"	5	"gobpnegativregulationofcellmatrixadhesin."
"3"	"3"	"GOBP_HORMONE_METABOLIC_PROCESS"	"GOBP_HORMONE_METABOLIC_PROCESS"	"12/245"	"241/17939"	0.000124171219160078	0.00365581399232645	0.00297497722366088	"ADH1B/AKR1C2/AKR1C1/AKR1C3/CTSL/EDNRB/DHCR7/DHRS7/ALDH1A3/AKR1B1/HSD17B7/RDH5"	12	"gobp hormone metabolic process"
"3"	"3"	"GOBP_NEGATIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY"	"GOBP_NEGATIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY"	"6/245"	"58/17939"	0.000136410800968681	0.00397468597579038	0.00323446441038864	"SFRP1/HTRA3/HIPK2/ABL1/BMPER/TOB1"	6	"gobpnegativregulationofbmpsignalingpthwy."
"3"	"3"	"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV"	"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV"	"4/245"	"20/17939"	0.00013846957213779	0.00397468597579038	0.00323446441038864	"MT-CO1/MT-CO2/MT-CO3/COX7A1"	4	"kggmdcsvrntmttncsdabrrntabttelctrntrnsfrincmplxiv."
"3"	"3"	"GOBP_C21_STEROID_HORMONE_METABOLIC_PROCESS"	"GOBP_C21_STEROID_HORMONE_METABOLIC_PROCESS"	"5/245"	"37/17939"	0.000139142997277096	0.00397468597579038	0.00323446441038864	"AKR1C2/AKR1C1/AKR1C3/EDNRB/AKR1B1"	5	"gobpc21steroidhormonemetabolicprocess."
"3"	"3"	"GOBP_CARDIAC_EPITHELIAL_TO_MESENCHYMAL_TRANSITION"	"GOBP_CARDIAC_EPITHELIAL_TO_MESENCHYMAL_TRANSITION"	"5/245"	"37/17939"	0.000139142997277096	0.00397468597579038	0.00323446441038864	"TGFBR3/TGFBR2/MSX1/TMEM100/SPRY1"	5	"gobpcardiacepithelialtmesenchymaltranstn."
"3"	"3"	"GOBP_CELLULAR_RESPONSE_TO_CADMIUM_ION"	"GOBP_CELLULAR_RESPONSE_TO_CADMIUM_ION"	"5/245"	"37/17939"	0.000139142997277096	0.00397468597579038	0.00323446441038864	"MT1X/JUN/MT2A/MT1M/MT1A"	5	"gobp cellular response to cadmium ion"
"3"	"3"	"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"	"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"	"11/245"	"209/17939"	0.000146276149138311	0.00415372331192162	0.00338015891188498	"GPX3/PGD/MT-CO1/MT-CO2/MT-CO3/COX7A1/MYC/G6PD/GSR/ABCC1/SRXN1"	11	"reactomecellularresponsetochemicalstress."
"3"	"3"	"GOBP_RESPONSE_TO_TOXIC_SUBSTANCE"	"GOBP_RESPONSE_TO_TOXIC_SUBSTANCE"	"12/245"	"246/17939"	0.000150505248115183	0.00424867462179272	0.00345742706196488	"GPX3/EPHX1/MGST1/MT-CYB/MT1X/MT2A/CES1/GSTM3/MT1M/MT1A/GSR/SRXN1"	12	"gobp response to toxic substance"
"3"	"3"	"GOBP_BASEMENT_MEMBRANE_ORGANIZATION"	"GOBP_BASEMENT_MEMBRANE_ORGANIZATION"	"5/245"	"38/17939"	0.000158454859718217	0.00444692907478202	0.00361875980027446	"LAMA2/NID1/LAMC1/COL4A1/RAMP2"	5	"gobp basement membrane organization"
"3"	"3"	"GOBP_FOCAL_ADHESION_ASSEMBLY"	"GOBP_FOCAL_ADHESION_ASSEMBLY"	"7/245"	"85/17939"	0.000162350405381979	0.00452976508969837	0.00368616893492744	"SFRP1/NRP1/DLC1/APOD/ABL1/ARHGAP6/CORO2B"	7	"gobp focal adhesion assembly"
"3"	"3"	"GOBP_DETOXIFICATION"	"GOBP_DETOXIFICATION"	"9/245"	"144/17939"	0.000163881359108613	0.00454604995585105	0.00369942100573747	"GPX3/MGST1/MT1X/MT2A/GSTM3/MT1M/MT1A/GSR/SRXN1"	9	"gobp detoxification"
"3"	"3"	"GOBP_RESPONSE_TO_CADMIUM_ION"	"GOBP_RESPONSE_TO_CADMIUM_ION"	"6/245"	"60/17939"	0.000164934775931235	0.00454897695226434	0.00370180289597629	"MT-CYB/MT1X/JUN/MT2A/MT1M/MT1A"	6	"gobp response to cadmium ion"
"3"	"3"	"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV"	"KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV"	"4/245"	"21/17939"	0.000169224079764843	0.00464060776452275	0.00377636893791018	"MT-CO1/MT-CO2/MT-CO3/COX7A1"	4	"kggmdcsenvfctrarsnctelctrntrnsfrincmplxi."
"3"	"3"	"GOBP_MESENCHYMAL_CELL_DIFFERENTIATION"	"GOBP_MESENCHYMAL_CELL_DIFFERENTIATION"	"12/245"	"251/17939"	0.000181482812817657	0.00494850010631781	0.00402692126527217	"TGFBR3/EDNRB/SFRP1/TGFBR2/MSX1/TMEM100/NRP1/SPRY1/SOX9/HES1/ZNF703/EPHA4"	12	"gobp mesenchymal cell differentiation"
"3"	"3"	"GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS"	"GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_PROCESS"	"15/245"	"372/17939"	0.000193123824796811	0.00523616517062088	0.00426101332141641	"GSN/WASF3/PDGFRB/RHOQ/PIK3R1/CXCL12/SFRP1/NRP1/DLC1/SSH2/RAC3/ABL1/PDE4D/ARHGAP6/CORO2B"	15	"gobpregulationofactinfilamentbasedprocss."
"3"	"3"	"WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II"	"WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II"	"10/245"	"181/17939"	0.00019746807731844	0.00532387248905164	0.00433238655737085	"GPX3/AKR1C2/AKR1C1/AKR1C3/EPHX1/MGST1/GSTM3/CYP51A1/AKR1B1/GSR"	10	"wpmetapathwaybiotransformationphaseiandi."
"3"	"3"	"GOBP_EPITHELIAL_TUBE_MORPHOGENESIS"	"GOBP_EPITHELIAL_TUBE_MORPHOGENESIS"	"14/245"	"332/17939"	0.000199506719062017	0.00533684644810061	0.00434294432446524	"COL4A1/MYC/TMEM59L/SFRP1/TGFBR2/NRP1/DLC1/SPRY1/PLXND1/CSF1/ABL1/SOX9/HES1/EPHA4"	14	"gobp epithelial tube morphogenesis"
"3"	"3"	"GOCC_CYTOCHROME_COMPLEX"	"GOCC_CYTOCHROME_COMPLEX"	"5/245"	"40/17939"	0.000203159311142651	0.00533684644810061	0.00434294432446524	"MT-CO1/MT-CYB/MT-CO2/MT-CO3/COX7A1"	5	"gocc cytochrome complex"
"3"	"3"	"GOBP_DETOXIFICATION_OF_INORGANIC_COMPOUND"	"GOBP_DETOXIFICATION_OF_INORGANIC_COMPOUND"	"4/245"	"22/17939"	0.000204621743373726	0.00533684644810061	0.00434294432446524	"MT1X/MT2A/MT1M/MT1A"	4	"gobpdetoxificationofinorganiccompound."
"3"	"3"	"GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN"	"GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN"	"4/245"	"22/17939"	0.000204621743373726	0.00533684644810061	0.00434294432446524	"MT-CO1/MT-CO2/MT-CO3/COX7A1"	4	"gobpmitchndrlelctrntrnsprtcytchrmctoxygn."
"3"	"3"	"GOBP_POSITIVE_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS"	"GOBP_POSITIVE_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS"	"4/245"	"22/17939"	0.000204621743373726	0.00533684644810061	0.00434294432446524	"TGFBR3/SRPX2/NRP1/ABL1"	4	"gbppstvrgltnofcllmgrtninvlvdinsprtngangg."
