orig.ident	nCount_RNA	nFeature_RNA	sample	condition	time	rep	percent.mt	RNA_snn_res.0.5	seurat_clusters	cond.time	time.rep	initial_clusters	rpca_clusters	harmony_clusters	fastmnn_clusters	raw_pseudotime	monocle_pseudotime	pscondition	velocity_pseudotime
asc_day0	10214	2916	asc_day0	asc	day0	rep1	1.4000391619346	3	2	asc.day0	day0.rep1	3	1	2	2	42.7290850409277	0.22136020822543	white	NA
asc_day0	23962	5013	asc_day0	asc	day0	rep1	0.538352391286203	3	2	asc.day0	day0.rep1	3	8	2	2	45.2188885357468	0.175989237306941	white	NA
asc_day0	38696	6108	asc_day0	asc	day0	rep1	0.418647922265867	3	2	asc.day0	day0.rep1	3	4	2	2	41.5429034505654	0.242975653200249	white	NA
asc_day0	27136	4663	asc_day0	asc	day0	rep1	0.862323113207547	3	2	asc.day0	day0.rep1	3	0	2	2	52.1933689199735	0.0488952930086164	white	NA
asc_day0	46564	6805	asc_day0	asc	day0	rep1	0.347908255304527	8	7	asc.day0	day0.rep1	8	9	8	7	54.8765582270122	3.08214927025041e-07	white	0.152792856097221
asc_day0	24352	4612	asc_day0	asc	day0	rep1	1.47421156373193	3	2	asc.day0	day0.rep1	3	0	2	2	50.9717851090642	0.0711558624369236	white	NA
asc_day0	34533	5521	asc_day0	asc	day0	rep1	0.390930414386239	3	2	asc.day0	day0.rep1	3	4	2	2	42.709030472565	0.221725656840094	white	NA
asc_day0	27857	5144	asc_day0	asc	day0	rep1	0.516925727824245	3	0	asc.day0	day0.rep1	3	0	2	0	44.1258287020358	0.195907751370668	white	NA
asc_day0	32829	5425	asc_day0	asc	day0	rep1	0.88031922994913	3	2	asc.day0	day0.rep1	3	8	2	2	42.6897248383124	0.222077457844495	white	NA
asc_day0	39387	6047	asc_day0	asc	day0	rep1	0.304669053240917	3	2	asc.day0	day0.rep1	3	1	2	2	42.7119902669019	0.221671721361626	white	NA
asc_day0	20922	3915	asc_day0	asc	day0	rep1	0	3	0	asc.day0	day0.rep1	3	0	2	0	50.3264806327882	0.0829150597742283	white	NA
asc_day0	33058	5363	asc_day0	asc	day0	rep1	0.620122209450057	3	2	asc.day0	day0.rep1	3	4	2	2	38.5849757328671	0.296877116804881	white	NA
asc_day0	29996	5242	asc_day0	asc	day0	rep1	0.236698226430191	3	0	asc.day0	day0.rep1	3	0	2	0	48.6376096805175	0.113690867993632	white	NA
asc_day0	25171	5097	asc_day0	asc	day0	rep1	0.937586905565929	3	2	asc.day0	day0.rep1	3	1	2	2	43.7849468186718	0.202119543606052	white	NA
