Gene	alignment_similarity_percentage	opt_alignment_cost	l2fc	color	abs_l2fc
RORB	0.7143	26.46941302428081	0.09106530671154749	green	0.09106530671154749
LYVE1	0.7368000000000001	20.181042886523628	0.23887128949748374	green	0.23887128949748374
MMP8	0.7368000000000001	23.817971717235878	-0.13031966075622367	green	0.13031966075622367
MARCH10	0.7368000000000001	21.837694649217422	-0.0041971350494674035	green	0.0041971350494674035
ADGRF5	0.7368000000000001	23.89178653488265	0.0024306114736261813	green	0.0024306114736261813
IL23A	0.75	19.309881199230087	-0.37212997747192184	green	0.37212997747192184
CAMK1G	0.75	22.56922980929885	-0.18514587420130754	green	0.18514587420130754
AL392089.1	0.75	19.23985393251554	-0.15500727334795877	green	0.15500727334795877
LGALS7B	0.75	20.05399133728622	-0.1500572545695762	green	0.1500572545695762
NEIL3	0.75	19.984570035871073	0.12244085909079222	green	0.12244085909079222
RAB40A	0.75	22.4323641158888	-0.09919818026355334	green	0.09919818026355334
TRH	0.75	21.931503100043713	-0.08145943176996033	green	0.08145943176996033
HGD	0.75	20.866222229252884	0.07831260486307164	green	0.07831260486307164
SPOCK3	0.75	26.391900968094514	0.0734804984290204	green	0.0734804984290204
CIT	0.75	21.51153090235842	0.07172609115374971	green	0.07172609115374971
FGF18	0.75	22.65283556097181	-0.06834535943511998	green	0.06834535943511998
GTSE1	0.75	22.944020131465624	0.06487462523744682	green	0.06487462523744682
KRT16	0.75	22.712739894527182	-0.0616092940278197	green	0.0616092940278197
NGFR	0.75	22.165714236802017	0.05129747913925048	green	0.05129747913925048
SBSPON	0.75	20.361271229974356	0.043818539992328605	green	0.043818539992328605
IL7	0.75	22.062504686905804	-0.03848391173220762	green	0.03848391173220762
SMILR	0.75	21.1311748657121	-0.028650754802912792	green	0.028650754802912792
RRAD	0.75	22.14092682651216	0.02670618222597936	green	0.02670618222597936
BEX1	0.75	22.953773219954982	0.026338897320746936	green	0.026338897320746936
PDLIM3	0.75	21.84367025707503	0.020220372123274818	green	0.020220372123274818
F2RL1	0.75	22.26043963783327	-0.0196414549967822	green	0.0196414549967822
CCL20	0.75	26.1327140036525	-0.013282308519763288	green	0.013282308519763288
PLA2G5	0.75	22.322909666105666	0.007672420712407804	green	0.007672420712407804
MEGF6	0.75	20.82919955957794	0.004090705366804781	green	0.004090705366804781
AGXT	0.7646999999999999	11.289237202905188	1.0666727131758136	green	1.0666727131758136
GALNT14	0.7646999999999999	11.204141184857924	-0.5157215051967814	green	0.5157215051967814
TSPAN19	0.7646999999999999	12.641684226792433	-0.4669962922207005	green	0.4669962922207005
CA4	0.7646999999999999	11.865237112622712	-0.35952448282561134	green	0.35952448282561134
IL1RN	0.7646999999999999	12.553727353542872	-0.24126374285963662	green	0.24126374285963662
