orig.ident	nCount_RNA	nFeature_RNA	sample	condition	time	rep	percent.mt	RNA_snn_res.0.5	seurat_clusters	cond.time	time.rep	initial_clusters	fastmnn_clusters	progen_clusters	if_progen_cluster	time.progen_clusters	raw_pseudotime	monocle_pseudotime	pscondition	sample_or_progen_cluster
beige_day3	10102	2313	beige_day3	beige	day3	rep1	2.13819045733518	1	4	beige.day3	day3.rep1	1	4	NA	t1	day3	20.0887358333265	0.445391851254168	beige	beige.day3
beige_day3	10555	2481	beige_day3	beige	day3	rep1	1.36428233064898	2	3	beige.day3	day3.rep1	2	3	NA	t2	day3	1.5661438505571	0.956762030780146	beige	beige.day3
beige_day3	8394	2366	beige_day3	beige	day3	rep1	2.15630212056231	1	1	beige.day3	day3.rep1	1	1	NA	t1	day3	10.4968682167498	0.71020333496234	beige	beige.day3
beige_day3	8411	2315	beige_day3	beige	day3	rep1	1.18891927238141	1	4	beige.day3	day3.rep1	1	4	NA	t1	day3	17.3351168427542	0.521413535415056	beige	beige.day3
beige_day3	19611	3281	beige_day3	beige	day3	rep1	0.239661414512264	5	5	beige.day3	day3.rep1	5	5	NA	t5	day3	12.4786784037498	0.655489684083707	beige	beige.day3
beige_day3	7977	2299	beige_day3	beige	day3	rep1	4.03660524006519	1	4	beige.day3	day3.rep1	1	4	NA	t1	day3	17.3351171956444	0.521413525672493	beige	beige.day3
beige_day3	14151	2951	beige_day3	beige	day3	rep1	2.55812310084093	4	3	beige.day3	day3.rep1	4	3	NA	t4	day3	1.98939642015406	0.945076909027156	beige	beige.day3
beige_day3	21868	4319	beige_day3	beige	day3	rep1	0.804828973843058	7	5	beige.day3	day3.rep1	7	5	NA	t7	day3	27.2034940868068	0.248968196900033	beige	beige.day3
beige_day3	11123	2918	beige_day3	beige	day3	rep1	2.28355659444395	1	1	beige.day3	day3.rep1	1	1	NA	t1	day3	10.9119765768234	0.698743057868773	beige	beige.day3
beige_day3	29692	4409	beige_day3	beige	day3	rep1	1.63680452647178	4	6	beige.day3	day3.rep1	4	6	NA	t4	day3	0.0326821303704585	0.999097714461865	beige	beige.day3
beige_day3	19684	3772	beige_day3	beige	day3	rep1	2.45376955903272	1	4	beige.day3	day3.rep1	1	4	NA	t1	day3	20.2852830272715	0.439965592664308	beige	beige.day3
beige_day3	24035	3499	beige_day3	beige	day3	rep1	1.38131890992303	0	0	beige.day3	day3.rep1	0	0	NA	t0	day3	21.9123218012128	0.395046441462354	beige	beige.day3
beige_day3	20759	3840	beige_day3	beige	day3	rep1	1.01160942241919	2	3	beige.day3	day3.rep1	2	3	NA	t2	day3	1.76230906694945	0.951346317794802	beige	beige.day3
beige_day3	25791	4218	beige_day3	beige	day3	rep1	2.08212167035012	4	6	beige.day3	day3.rep1	4	6	NA	t4	day3	0.0326817774802493	0.999097724204428	beige	beige.day3
beige_day3	13424	2982	beige_day3	beige	day3	rep1	1.02800953516091	1	4	beige.day3	day3.rep1	1	4	NA	t1	day3	15.0982067324713	0.583169963767144	beige	beige.day3
beige_day3	24330	4191	beige_day3	beige	day3	rep1	3.0374023838882	4	6	beige.day3	day3.rep1	4	6	NA	t4	day3	0.03268142459004	0.999097733946992	beige	beige.day3
beige_day3	20764	3810	beige_day3	beige	day3	rep1	1.50741668272009	5	5	beige.day3	day3.rep1	5	5	NA	t5	day3	12.4407686759135	0.656536292698065	beige	beige.day3
beige_day3	9499	2313	beige_day3	beige	day3	rep1	1.85282661332772	1	4	beige.day3	day3.rep1	1	4	NA	t1	day3	18.718556669846	0.483219643685354	beige	beige.day3
beige_day3	7892	2493	beige_day3	beige	day3	rep1	3.90268626457172	2	3	beige.day3	day3.rep1	2	3	NA	t2	day3	5.90524376648137	0.836968521046116	beige	beige.day3
beige_day3	16681	4037	beige_day3	beige	day3	rep1	2.9374737725556	1	4	beige.day3	day3.rep1	1	4	NA	t1	day3	14.3029805020245	0.605124503423669	beige	beige.day3
beige_day3	14925	3198	beige_day3	beige	day3	rep1	1.63484087102178	1	1	beige.day3	day3.rep1	1	1	NA	t1	day3	8.49171186357827	0.765561524855678	beige	beige.day3
beige_day3	25687	4188	beige_day3	beige	day3	rep1	2.39420718651458	5	5	beige.day3	day3.rep1	5	5	NA	t5	day3	12.4407690288037	0.656536282955501	beige	beige.day3
beige_day3	23231	4169	beige_day3	beige	day3	rep1	2.66454306745297	2	3	beige.day3	day3.rep1	2	3	NA	t2	day3	6.95764767835378	0.807913841342073	beige	beige.day3
beige_day3	32183	4824	beige_day3	beige	day3	rep1	2.3956747351086	4	6	beige.day3	day3.rep1	4	6	NA	t4	day3	0.0326810716998307	0.999097743689555	beige	beige.day3
beige_day3	24051	4462	beige_day3	beige	day3	rep1	1.2764542014885	10	2	beige.day3	day3.rep1	10	2	NA	t10	day3	22.808743038528	0.370298118469373	beige	beige.day3
beige_day3	32670	5064	beige_day3	beige	day3	rep1	2.26507499234772	4	6	beige.day3	day3.rep1	4	6	NA	t4	day3	0.0326807188096214	0.999097753432119	beige	beige.day3
beige_day3	19139	3766	beige_day3	beige	day3	rep1	1.59882961492241	1	4	beige.day3	day3.rep1	1	4	NA	t1	day3	12.7119297750055	0.649050099618171	beige	beige.day3
beige_day3	13278	3028	beige_day3	beige	day3	rep1	2.26690766681729	1	4	beige.day3	day3.rep1	1	4	NA	t1	day3	18.7185570227362	0.483219633942791	beige	beige.day3
