Gene	alignment_similarity_percentage	opt_alignment_cost	l2fc	color	abs_l2fc
LINC01698	1.0	-1.3707867238525941	-0.6644487074538892	green	0.6644487074538892
LINC02037	1.0	-1.3707867238525941	-0.6644487074538892	green	0.6644487074538892
AC097518.2	1.0	-1.3707867238525941	-0.6644487074538892	green	0.6644487074538892
SLC6A3	1.0	-1.3707867238525941	-0.6644487074538892	green	0.6644487074538892
AL161668.1	1.0	-1.3707867238525941	-0.6644487074538892	green	0.6644487074538892
LINC02331	1.0	-1.3707867238525941	-0.6644487074538892	green	0.6644487074538892
AC098820.2	1.0	-1.3707867238525941	0.6644487074538891	green	0.6644487074538891
KLRG2	1.0	-1.3707867238525941	0.6644487074538891	green	0.6644487074538891
AC073896.4	1.0	-1.3707867238525941	0.6644487074538891	green	0.6644487074538891
EPB42	1.0	-1.3707867238525941	0.6644487074538891	green	0.6644487074538891
ANKRD30B	1.0	-1.3707867238525941	0.6644487074538891	green	0.6644487074538891
PSG7	1.0	-1.3707867238525941	0.6644487074538891	green	0.6644487074538891
GP6	1.0	-1.3707867238525941	0.6644487074538891	green	0.6644487074538891
AL035427.2	1.0	-1.3707867238525941	0.6644487074538891	green	0.6644487074538891
GCG	1.0	-1.3707867238525941	0.6457708491580569	green	0.6457708491580569
SLC22A3	1.0	2.8175318906876434	-0.6448802880435728	green	0.6448802880435728
FGF10	1.0	-2.4108322255667662	-0.6395895658249864	green	0.6395895658249864
LINC02692	1.0	-2.4166619631947777	-0.6395895658249864	green	0.6395895658249864
GJD3	1.0	0.7861309724202883	-0.6341482885786117	green	0.6341482885786117
AC020637.1	1.0	-2.389561565195027	-0.6298566480539988	green	0.6298566480539988
BATF	1.0	-2.3988415864503176	0.6298566480539987	green	0.6298566480539987
AC100756.4	1.0	-2.2307537008179987	-0.6194294949326845	green	0.6194294949326845
SCGN	1.0	-1.3707867238525941	0.6119474337000766	green	0.6119474337000766
DUSP15	1.0	-2.2369688990537715	-0.5955665426400293	green	0.5955665426400293
PM20D1	1.0	-0.4859335540488069	-0.5909892062921269	green	0.5909892062921269
