orig.ident	nCount_RNA	nFeature_RNA	sample	condition	time	rep	percent.mt	RNA_snn_res.0.5	seurat_clusters	cond.time	time.rep	initial_clusters	fastmnn_clusters	progen_clusters	if_progen_cluster	time.progen_clusters	raw_pseudotime	monocle_pseudotime	pscondition	sample_or_progen_cluster
white_day1_rep2	44408	5846	white_day1_rep2	white	day1	rep2	0.797153666006125	0	1	white.day1	day1.rep2	0	1	NA	t0	day1	15.815917637504	0.643568773943118	white	white.day1
white_day1_rep2	21222	4073	white_day1_rep2	white	day1	rep2	1.18273489774762	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	27.3534350284098	0.38355657841033	white	white.day1
white_day1_rep2	24049	4425	white_day1_rep2	white	day1	rep2	1.5260509792507	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	28.7229496051543	0.352692876987511	white	white.day1
white_day1_rep2	33890	5224	white_day1_rep2	white	day1	rep2	1.36323399232812	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	32.7866019533315	0.261113455424571	white	white.day1
white_day1_rep2	17552	3827	white_day1_rep2	white	day1	rep2	1.73199635369189	0	4	white.day1	day1.rep2	0	4	NA	t0	day1	28.2093319847028	0.364267884039131	white	white.day1
white_day1_rep2	21079	3862	white_day1_rep2	white	day1	rep2	1.73158119455382	0	4	white.day1	day1.rep2	0	4	NA	t0	day1	24.5928138020166	0.445770585270654	white	white.day1
white_day1_rep2	50009	5764	white_day1_rep2	white	day1	rep2	0.537903177428063	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	25.4113411391441	0.427324061393871	white	white.day1
white_day1_rep2	84613	7087	white_day1_rep2	white	day1	rep2	0.0200914753052131	9	0	white.day1	day1.rep2	9	0	NA	t9	day1	32.8638889774528	0.259371696938138	white	white.day1
white_day1_rep2	62888	7467	white_day1_rep2	white	day1	rep2	0.955667217911207	7	5	white.day1	day1.rep2	7	5	NA	t7	day1	21.0772557430389	0.524998025496077	white	white.day1
white_day1_rep2	17609	3827	white_day1_rep2	white	day1	rep2	1.30615026406951	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	32.8187786374994	0.260388314130133	white	white.day1
white_day1_rep2	34677	4857	white_day1_rep2	white	day1	rep2	0.824754159817747	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	30.049514468016	0.322797100381255	white	white.day1
white_day1_rep2	24839	4905	white_day1_rep2	white	day1	rep2	1.65465598454044	7	5	white.day1	day1.rep2	7	5	NA	t7	day1	20.673481602949	0.534097574134408	white	white.day1
white_day1_rep2	29516	4414	white_day1_rep2	white	day1	rep2	1.09770971676379	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	25.6912446193697	0.421016090973122	white	white.day1
white_day1_rep2	39604	5340	white_day1_rep2	white	day1	rep2	0.772649227350773	7	2	white.day1	day1.rep2	7	2	NA	t7	day1	35.4132433438987	0.201918849540206	white	white.day1
white_day1_rep2	18223	3997	white_day1_rep2	white	day1	rep2	1.30604181528837	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	23.238359209286	0.476294891364696	white	white.day1
white_day1_rep2	26423	4776	white_day1_rep2	white	day1	rep2	0.889376679408092	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	29.6323902006197	0.332197510616927	white	white.day1
white_day1_rep2	18628	3978	white_day1_rep2	white	day1	rep2	1.33669744470689	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	24.4562210509998	0.448848871515641	white	white.day1
white_day1_rep2	24342	4540	white_day1_rep2	white	day1	rep2	1.72541286665023	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	31.7716431371194	0.283986805144215	white	white.day1
white_day1_rep2	34135	5394	white_day1_rep2	white	day1	rep2	0.97553830379376	0	2	white.day1	day1.rep2	0	2	NA	t0	day1	36.3479188672311	0.180854782921857	white	white.day1
white_day1_rep2	18581	3697	white_day1_rep2	white	day1	rep2	1.56611592486949	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	31.9007841597268	0.281076452796842	white	white.day1
white_day1_rep2	39416	5244	white_day1_rep2	white	day1	rep2	1.21016845950883	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	30.0456308530997	0.322884622437064	white	white.day1
white_day1_rep2	27583	4299	white_day1_rep2	white	day1	rep2	1.19276365877533	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	32.8152475532454	0.260467891472327	white	white.day1
white_day1_rep2	41222	5959	white_day1_rep2	white	day1	rep2	0.521566153995439	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	27.2961288106634	0.384848044762152	white	white.day1
white_day1_rep2	19972	3855	white_day1_rep2	white	day1	rep2	2.12297216102544	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	24.4849487525434	0.448201457301831	white	white.day1
white_day1_rep2	42187	5249	white_day1_rep2	white	day1	rep2	1.05719771493588	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	30.5218763849991	0.312151841530538	white	white.day1
white_day1_rep2	34771	5088	white_day1_rep2	white	day1	rep2	1.230910816485	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	27.2961290664058	0.384848038998682	white	white.day1
white_day1_rep2	30411	4714	white_day1_rep2	white	day1	rep2	1.57508796159284	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	29.7912469107991	0.328617478571088	white	white.day1
white_day1_rep2	22260	4800	white_day1_rep2	white	day1	rep2	3.7151841868823	0	4	white.day1	day1.rep2	0	4	NA	t0	day1	19.3555710861989	0.563798314368704	white	white.day1
white_day1_rep2	31973	5362	white_day1_rep2	white	day1	rep2	1.42620335908423	0	2	white.day1	day1.rep2	0	2	NA	t0	day1	35.4221473536378	0.20171818669023	white	white.day1
white_day1_rep2	26727	4372	white_day1_rep2	white	day1	rep2	1.0813035507165	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	28.831376219404	0.350249349400938	white	white.day1
white_day1_rep2	48054	6016	white_day1_rep2	white	day1	rep2	2.06642527156948	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	27.2961293221482	0.384848033235211	white	white.day1
white_day1_rep2	19247	4202	white_day1_rep2	white	day1	rep2	2.7380890528394	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	28.2093322404452	0.36426787827566	white	white.day1
white_day1_rep2	9752	3322	white_day1_rep2	white	day1	rep2	5.31173092698933	6	0	white.day1	day1.rep2	6	0	NA	t6	day1	12.6237962321092	0.715507169951789	white	white.day1
white_day1_rep2	43754	5977	white_day1_rep2	white	day1	rep2	2.63747314531243	6	2	white.day1	day1.rep2	6	2	NA	t6	day1	43.9523535396802	0.00947946117996612	white	white.day1
white_day1_rep2	26682	4684	white_day1_rep2	white	day1	rep2	2.30492466831572	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	33.105639722185	0.253923545504881	white	white.day1
white_day1_rep2	42354	6047	white_day1_rep2	white	day1	rep2	2.38230155357227	7	5	white.day1	day1.rep2	7	5	NA	t7	day1	22.7825924993759	0.486566156740028	white	white.day1
white_day1_rep2	34855	5550	white_day1_rep2	white	day1	rep2	1.16195667766461	0	2	white.day1	day1.rep2	0	2	NA	t0	day1	34.620700903206	0.219779771701836	white	white.day1
white_day1_rep2	36139	5371	white_day1_rep2	white	day1	rep2	2.43504247488862	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	28.594248832895	0.355593307749877	white	white.day1
white_day1_rep2	48202	6116	white_day1_rep2	white	day1	rep2	0.53732210281731	0	2	white.day1	day1.rep2	0	2	NA	t0	day1	34.4106237827815	0.224514118915548	white	white.day1
white_day1_rep2	29047	4882	white_day1_rep2	white	day1	rep2	0.877887561538197	7	0	white.day1	day1.rep2	7	0	NA	t7	day1	29.7912471665415	0.328617472807618	white	white.day1
white_day1_rep2	18944	4234	white_day1_rep2	white	day1	rep2	1.71558277027027	0	2	white.day1	day1.rep2	0	2	NA	t0	day1	35.3035672449475	0.204390535806807	white	white.day1
white_day1_rep2	50775	6145	white_day1_rep2	white	day1	rep2	1.34318069916297	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	30.5346206764702	0.311864633191546	white	white.day1
