Gene	alignment_similarity_percentage	opt_alignment_cost	l2fc	color	abs_l2fc
NPTX1	1.0	-0.5639665469144758	0.04171374603955452	green	0.04171374603955452
LRRC32	1.0	0.17070971315688765	-0.04162150353225513	green	0.04162150353225513
KCNK2	1.0	0.1567031863959868	-0.04154328675503079	green	0.04154328675503079
ALDH1A1	1.0	-0.5599861634827087	-0.041518540107564686	green	0.041518540107564686
CDO1	1.0	0.7902677605222984	-0.04133850224319018	green	0.04133850224319018
AKAP12	1.0	1.0706183299124268	-0.041300655867505226	green	0.041300655867505226
CDCA2	1.0	-0.5015916396555956	-0.04119630433458401	green	0.04119630433458401
ITGA3	1.0	-0.4596038020372789	-0.04110704932157021	green	0.04110704932157021
CPXM2	1.0	-0.6440364845476682	-0.04109542017221282	green	0.04109542017221282
ME1	1.0	1.2546983265131169	-0.041005732673235	green	0.041005732673235
CILP	1.0	1.7174185701653601	-0.0409883213088623	green	0.0409883213088623
COL12A1	1.0	0.3693908947160852	-0.04087380181316835	green	0.04087380181316835
COL5A2	1.0	0.3685650570147877	-0.040784278404867445	green	0.040784278404867445
BASP1	1.0	1.319180644925951	-0.0407714656825095	green	0.0407714656825095
CDCA3	1.0	-0.49018055087030865	0.04076931428461723	green	0.04076931428461723
CENPF	1.0	-0.37613296361472426	0.04076399544863447	green	0.04076399544863447
SUSD2	1.0	-0.3906793622369601	-0.04063653794920947	green	0.04063653794920947
LINC01436	1.0	-0.25997055917199063	-0.04051449786347636	green	0.04051449786347636
SLC39A8	1.0	1.3091702872517044	-0.04048094755988272	green	0.04048094755988272
LXN	1.0	0.5539320358546468	-0.040440653525087016	green	0.040440653525087016
C15orf48	1.0	-1.3538632918872766	-0.040343106592602	green	0.040343106592602
TMX4	1.0	3.6972815191288118	-0.04033579980567061	green	0.04033579980567061
IL20RB	1.0	0.8789982468239795	-0.04030566971523549	green	0.04030566971523549
CCN5	1.0	1.1646078696030975	-0.04028552550161818	green	0.04028552550161818
FGF2	1.0	0.035022233098511595	-0.04022696505649367	green	0.04022696505649367
NGEF	1.0	-0.5312116721590173	-0.04022110385975766	green	0.04022110385975766
HIST1H4F	1.0	0.47526464685588177	0.04021087757657577	green	0.04021087757657577
TSPAN13	1.0	-0.10007222606299152	0.04020620766427998	green	0.04020620766427998
DDAH1	1.0	0.26470421116054055	-0.040148168065089675	green	0.040148168065089675
XG	1.0	-0.45552042054115127	-0.04013497949702879	green	0.04013497949702879
AGT	1.0	0.7201068700415386	-0.040131310766433045	green	0.040131310766433045
TFPI2	1.0	0.5324948819781533	-0.040084843886357004	green	0.040084843886357004
NTF3	1.0	-1.7397612145316865	-0.04000112886922809	green	0.04000112886922809
HIST1H1A	1.0	-0.6428113272071628	-0.03993675758491072	green	0.03993675758491072
TNFSF13B	1.0	-0.20143005963004879	0.03980142405364682	green	0.03980142405364682
SGCD	1.0	-0.5817418546888052	-0.039800266057570755	green	0.039800266057570755
DBP	1.0	-0.09494602874663119	-0.03979325706457285	green	0.03979325706457285
COL14A1	1.0	0.7821852357743236	-0.03978319269035269	green	0.03978319269035269
SYNGR2	1.0	0.722572881689853	-0.03978309257429698	green	0.03978309257429698
