Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
s1.up	GOBP_MACROPHAGE_ACTIVATION	GOBP_MACROPHAGE_ACTIVATION	26/2236	74/13084	0.000136405829245694	0.00461977460130011	0.00400917148830871	CD74/IFI35/JMJD6/CTSC/WNT5A/FOXP1/IL1RL1/CLU/NMI/WNK4/LBP/SYT11/DYSF/IL6/TLR4/IL33/THBS1/CALHM2/ATM/LRFN5/SPHK1/LRRK2/MYO18A/TRPV1/C5AR1/AGER	26
s1.up	GOBP_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	GOBP_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	27/2236	78/13084	0.000136362079149946	0.00461977460130011	0.00400917148830871	PRKCZ/RIMS1/SSH1/STX1B/GRIN2D/STX1A/CTSC/RGS4/SYNE1/DLG4/CCN3/TMEM25/ITGA2/GRIK2/NLGN1/NLGN2/DLGAP1/EIF2AK3/BAIAP2/RIMS2/F2R/ABAT/GRIN2A/LRRK2/RELN/NLGN3/S1PR2	27
s1.up	GOBP_REGULATION_OF_SYNAPSE_ASSEMBLY	GOBP_REGULATION_OF_SYNAPSE_ASSEMBLY	28/2236	82/13084	0.000135215808042066	0.00461977460130011	0.00400917148830871	MYCBP2/MUSK/SRPX2/EEF2K/DKK1/MDGA1/WNT5A/FLRT3/CLSTN3/TPBG/OGT/DLG5/PTPRD/FZD1/LRFN5/NLGN1/NLGN2/CLSTN1/NEGR1/BDNF/SLITRK4/OXTR/ROBO2/FLRT2/THBS2/IL1RAP/NLGN3/NTNG2	28
s1.up	GOBP_MYELOID_LEUKOCYTE_MIGRATION	GOBP_MYELOID_LEUKOCYTE_MIGRATION	46/2236	159/13084	0.000135829187596347	0.00461977460130011	0.00400917148830871	DPEP1/CD74/DAPK2/CXCL2/B4GALT1/MMP2/RIN3/LGMN/SERPINE1/CXCL12/BST1/TRPV4/VEGFA/IL1R1/DUSP1/XG/RAC2/LBP/SWAP70/C5AR2/IL6/CCN3/THBS1/CYP19A1/SLIT2/TRIM55/PTPRJ/VEGFC/MCOLN2/RABGEF1/MMP14/NBL1/PF4/VEGFD/JAM3/GREM1/ROR2/PDGFD/SAA1/CAMK1D/C5AR1/DPP4/IRAK4/SIRPA/AGER/CKLF	46
s1.up	GOBP_MUSCLE_CELL_PROLIFERATION	GOBP_MUSCLE_CELL_PROLIFERATION	50/2236	177/13084	0.000137132620198368	0.0046304841035844	0.00401846549828056	HGF/FOXJ2/PTGS2/FGFR1/NDC80/KCNK2/MMP2/CCN4/TGFB1/WNT2/OGN/GLI1/PDGFRB/FOXP1/PDE1A/IGFBP5/ID2/MEF2D/NR4A3/DNMT1/IL6/KLF4/TLR4/CCN3/PIM1/THBS1/FGF2/IGF1R/GATA6/EGFR/IGFBP3/GJA1/ADAMTS1/RUNX1/PTGIR/DDR2/ITGA2/SERPINF2/ZFPM2/FOS/PDGFD/EFEMP2/FOXC2/ERN1/ELANE/IRAK4/MIR590/MIR199A1/TAFA5/PRKDC	50
s1.up	WP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_IN_COLORECTAL_CANCER	WP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_IN_COLORECTAL_CANCER	38/2236	124/13084	0.00013792247220134	0.00464325266115437	0.00402954641485644	WNT16/CLDN11/SNAI2/MMP2/DSP/HIF1A/TGFB1/WNT2/MAP2K6/VTN/WNT5B/FOXM1/WNT5A/FN1/ID2/MEF2D/AKT3/PROX1/NRP2/ID1/WNT2B/WNT9A/ZEB1/MAPK13/FZD1/ITGA5/TGFBR2/EIF5A2/FZD6/SMAD3/CDH2/FOXC2/FZD2/CLDN7/COL4A5/OCLN/DLL1/PDCD6	38
s5.up	GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	19/406	190/13084	7.13673630305317e-06	0.00477051173324087	0.00443312356789653	PGR/HTR2A/PDGFRL/ADGRD1/ADRA1A/SMO/RAMP2/LPAR4/PTH1R/NPY1R/AVPR1A/GPRC5C/ADORA2B/NMUR1/ADGRG2/OXTR/GPR39/RORB/OR3A2	19
s1.up	GOCC_FIBRINOGEN_COMPLEX	GOCC_FIBRINOGEN_COMPLEX	5/2236	5/13084	0.000145226107633719	0.00481225795126192	0.0041762140012538	FGL1/FN1/FGL2/THBS1/SERPINF2	5
s1.up	KEGG_MEDICUS_REFERENCE_REGULATION_OF_FIBRINOLYTIC_SYSTEM_C1INH	KEGG_MEDICUS_REFERENCE_REGULATION_OF_FIBRINOLYTIC_SYSTEM_C1INH	5/2236	5/13084	0.000145226107633719	0.00481225795126192	0.0041762140012538	PLAU/MASP1/SERPING1/C1R/C1S	5
s1.up	GOBP_HYPOTHALAMUS_GONADOTROPHIN_RELEASING_HORMONE_NEURON_DIFFERENTIATION	GOBP_HYPOTHALAMUS_GONADOTROPHIN_RELEASING_HORMONE_NEURON_DIFFERENTIATION	6/2236	7/13084	0.000148062910896248	0.00481225795126192	0.0041762140012538	NRP1/PLXNA1/NRP2/PLXNA3/SEMA3E/NDNF	6
s1.up	GOBP_IRIS_MORPHOGENESIS	GOBP_IRIS_MORPHOGENESIS	6/2236	7/13084	0.000148062910896248	0.00481225795126192	0.0041762140012538	HIPK2/HIF1A/WNT2/WNT2B/WNT9A/PITX2	6
s1.up	GOBP_METANEPHRIC_GLOMERULUS_VASCULATURE_DEVELOPMENT	GOBP_METANEPHRIC_GLOMERULUS_VASCULATURE_DEVELOPMENT	6/2236	7/13084	0.000148062910896248	0.00481225795126192	0.0041762140012538	PDGFRB/TCF21/EGR1/PDGFRA/OSR1/CD34	6
s1.up	GOBP_NEGATIVE_REGULATION_OF_PLASMINOGEN_ACTIVATION	GOBP_NEGATIVE_REGULATION_OF_PLASMINOGEN_ACTIVATION	6/2236	7/13084	0.000148062910896248	0.00481225795126192	0.0041762140012538	PLAT/SERPINE1/PLAU/SERPINE2/THBS1/SERPINF2	6
s1.up	GOBP_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION	GOBP_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION	6/2236	7/13084	0.000148062910896248	0.00481225795126192	0.0041762140012538	SALL1/WNT5A/SLIT2/ATF5/SLIT3/ROBO2	6
s1.up	REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1	REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1	6/2236	7/13084	0.000148062910896248	0.00481225795126192	0.0041762140012538	OGN/FMOD/OMD/LUM/ACAN/PRELP	6
s1.up	REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15	6/2236	7/13084	0.000148062910896248	0.00481225795126192	0.0041762140012538	OGN/FMOD/OMD/LUM/ACAN/PRELP	6
s1.up	GOCC_PLATELET_ALPHA_GRANULE_LUMEN	GOCC_PLATELET_ALPHA_GRANULE_LUMEN	20/2236	51/13084	0.000144066351752522	0.00481225795126192	0.0041762140012538	HGF/TIMP1/TGFB1/SERPINE1/VEGFA/FN1/QSOX1/CLU/A1BG/SRGN/ISLR/THBS1/PCYOX1L/SERPING1/VEGFC/PF4/VEGFD/SERPINF2/GAS6/PROS1	20
s1.up	GOBP_CELL_FATE_COMMITMENT	GOBP_CELL_FATE_COMMITMENT	51/2236	182/13084	0.000147353853641731	0.00481225795126192	0.0041762140012538	WNT16/SOX8/EYA2/GLI2/FGFR1/NRP1/SFRP1/IL7/WNT2/HOXA2/DKK1/WNT5B/TBX18/WNT5A/ACVR1/LOXL3/ID2/DLX2/PRRX1/PROX1/RUNX2/GSC/WNT2B/IL6/KLF4/IRF4/FGF2/PML/TGFB1I1/GATA6/TBX19/WNT9A/DLX1/PDPN/STAT6/TNXB/CHD3/SIX2/FOXC2/GATA2/GAS1/EXT1/SOCS3/NR2F2/PTCH1/TEAD4/DLL1/ZNF521/POU5F1/EBF2/PRKDC	51
s1.up	GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	75/2236	294/13084	0.000146830226864386	0.00481225795126192	0.0041762140012538	CACNA1G/DCN/EHD3/PRKCZ/KCNAB2/ABCC9/NEDD4/RIMS1/KCNK2/P2RX5/SSH1/SLC4A11/SLC8B1/DSP/KCNK6/STX1B/KCND1/KCNN4/GRIN2D/MET/STX1A/CHRNE/CNTNAP1/KCNA1/TBX18/RGS4/KMT2A/FKBP1B/GRIA3/AKAP9/TRPM4/SYNE1/DLG4/SPART/RNF122/KCNK1/SCN2A/PMAIP1/ATP1B1/KCNH1/CAMK2D/TMEM25/CACNA1C/KCNE4/GJA1/SLC25A27/PID1/GRIA1/KCNMA1/NPR2/ATP1A1/GRIK2/CACNB2/GABRB3/PIP5KL1/NLGN1/NLGN2/KCNS3/BAIAP2/RIMS2/CACNB4/SLC8A1/ABAT/GRIN2A/KCND2/GABRA5/LRRK2/RELN/NLGN3/TRPV1/SCN8A/FLNA/GABBR1/MLLT11/S1PR2	75
