Geneid	gene_name	description	gene_biotype	logFC.s1	P.Value.s1	adj.P.Val.s1	AveExpr.s1	logFC.s2	P.Value.s2	adj.P.Val.s2	AveExpr.s2	logFC.s3	P.Value.s3	adj.P.Val.s3	AveExpr.s3	logFC.s4	P.Value.s4	adj.P.Val.s4	AveExpr.s4	logFC.s5	P.Value.s5	adj.P.Val.s5	AveExpr.s5	logFC.s6	P.Value.s6	adj.P.Val.s6	AveExpr.s6
ENSG00000162627	SNX7	sorting nexin 7 	protein_coding	0.246199297105626	0.0768218798288624	0.154027527929516	4.12304425559588	-0.00784727569585079	0.95610695014566	0.972859021215818	4.12304425559588	0.0995251128273688	0.471916126900549	0.869327562006836	4.12304425559588	-0.0852111393696096	0.534365035766217	0.901146988243849	4.12304425559588	0.061081630481623	0.653905011816715	0.895166778512447	4.12304425559588	-0.313747625349158	0.0325142288025405	0.111324118241498	4.12304425559588
ENSG00000162630	B3GALT2	beta-1,3-galactosyltransferase 2 	protein_coding	-0.891363990214816	0.020390969656754	0.0549837717185181	0.714196063039858	0.563022581744038	0.155149161709244	0.27218543075577	0.714196063039858	-0.26852548439172	0.47586859628239	0.870004423087273	0.714196063039858	-1.55982360633433	0.000211727895349796	0.00649238967387551	0.714196063039858	1.06037751060528	0.00696852379690573	0.098790037908881	0.714196063039858	1.09631298859155	0.00742106603237279	0.0386370347681421	0.714196063039858
ENSG00000162631	NTNG1	netrin G1 	protein_coding	0.51937309872244	0.0307757187450304	0.0759759781648435	1.9696187373171	-1.63687196399275	2.26766560177919e-07	6.40943793955149e-06	1.9696187373171	0.888074962014577	0.000708099572368786	0.0202198169942726	1.9696187373171	-0.0753139524696931	0.748066353191246	0.960837649192152	1.9696187373171	-0.130185866767417	0.575632689200979	0.866332806680485	1.9696187373171	0.434923722492842	0.0807977230161831	0.20684446143094	1.9696187373171
ENSG00000162636	FAM102B	family with sequence similarity 102 member B 	protein_coding	0.542329624411579	0.000255921135725282	0.00167835571253969	4.29989022316328	-0.148729892132706	0.283470802020193	0.421310578940644	4.29989022316328	-0.219487804523651	0.107281273872582	0.522876918631369	4.29989022316328	0.0124609419072371	0.924997395718533	0.989513977016341	4.29989022316328	0.028098693071375	0.831390758987589	0.953683613723395	4.29989022316328	-0.214671562733836	0.121927301123857	0.27127191921914	4.29989022316328
ENSG00000162639	HENMT1	HEN methyltransferase 1 	protein_coding	-0.407800263670625	0.00100580811498558	0.00501820452065041	2.633831658813	0.173377351652916	0.155921994111009	0.273249285429744	2.633831658813	-0.0419666121767733	0.71603627019623	0.93799132686654	2.633831658813	-0.0573086417099909	0.616407277034916	0.926581284499161	2.633831658813	0.0728178055316964	0.521288358343886	0.845006932843797	2.633831658813	0.260880360372776	0.0341320334862227	0.115484948818784	2.633831658813
ENSG00000162641	AKNAD1	AKNA domain containing 1 	protein_coding	0.481087884954853	0.379603887006885	0.518144798570193	-3.29523100971697	-1.5897804540893	0.00931373383996667	0.0343436804580723	-3.29523100971697	0.568589867799014	0.310603490492273	0.775179489090232	-3.29523100971697	1.06488012090073	0.0610334868528008	0.355617618771789	-3.29523100971697	-0.999004539751531	0.0754236781354951	0.405545415541881	-3.29523100971697	0.474227120186234	0.40713337773943	0.598927811087185	-3.29523100971697
ENSG00000162642	C1orf52	chromosome 1 open reading frame 52 	protein_coding	-0.000606271658261997	0.994492305890932	0.996423251786093	4.40087106773195	0.0853393685469697	0.351585343392124	0.491675020286887	4.40087106773195	-0.0420512615724031	0.636155684587186	0.918727636280918	4.40087106773195	-0.130722681114747	0.146060757569826	0.574199856174927	4.40087106773195	0.0587876039998265	0.506297217852117	0.83845901812095	4.40087106773195	0.0292532417986147	0.745947563486567	0.855168821733706	4.40087106773195
ENSG00000162643	WDR63	WD repeat domain 63 	protein_coding	-0.436815560221549	0.0422781174843879	0.0969631847473688	1.58831485257821	0.820635817064717	0.000804978726447322	0.00523359411322861	1.58831485257821	-0.212409701430156	0.322057030208896	0.787420065331376	1.58831485257821	0.119602218981783	0.571278066752727	0.913569431877191	1.58831485257821	0.413247067014156	0.0550540944495468	0.34424053606992	1.58831485257821	-0.704259841408951	0.0028806238604879	0.0191205246395707	1.58831485257821
ENSG00000162645	GBP2	guanylate binding protein 2 	protein_coding	-0.909925548260212	1.68917334839438e-06	3.02060988567831e-05	5.75687479034126	0.505350678454453	0.00225040428789252	0.0117021175660338	5.75687479034126	0.0480953221331542	0.752929225315681	0.949076374559754	5.75687479034126	0.1032334440288	0.501257567519109	0.887126366070243	5.75687479034126	-0.0806893083714839	0.599692791621734	0.874916774936185	5.75687479034126	0.333935412015288	0.0350899698795387	0.117660068260998	5.75687479034126
ENSG00000162650	ATXN7L2	ataxin 7 like 2 	protein_coding	0.828033320444506	0.00370711066840285	0.0142252226277182	2.31599385493162	-1.16570534608119	0.000261591085276136	0.00214949799416392	2.31599385493162	0.653602559593182	0.0215726287237893	0.219012505553883	2.31599385493162	0.271118119152676	0.317341240401774	0.780017051776403	2.31599385493162	0.106355290791973	0.689815258224403	0.909132616666006	2.31599385493162	-0.693403943901146	0.017979615141662	0.0730879651302178	2.31599385493162
ENSG00000162654	GBP4	guanylate binding protein 4 	protein_coding	-0.602506207707913	0.0955707714910736	0.182328478282484	-1.8744162715873	0.0289027249443817	0.938477885541539	0.960331393244518	-1.8744162715873	0.73805344566973	0.0481862255574789	0.342499574889267	-1.8744162715873	1.06493313543217	0.00546356729848669	0.0741936007353144	-1.8744162715873	0.136291767438904	0.701014781449258	0.912351028082662	-1.8744162715873	-1.36567486577728	0.000836272133228735	0.00765530207716381	-1.8744162715873
ENSG00000162664	ZNF326	zinc finger protein 326 	protein_coding	-0.0378750432751836	0.790594914848219	0.859555427225721	5.16130706531647	0.367451013332799	0.0160883482139075	0.051638823012508	5.16130706531647	-0.138865568563051	0.335610550897602	0.798141748426262	5.16130706531647	0.201761604514451	0.164564390145148	0.608060034863238	5.16130706531647	-0.208363837634563	0.151727855452383	0.55944815544904	5.16130706531647	-0.184108168374453	0.20870555547272	0.388801551046188	5.16130706531647
