"simple_id"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"proximity"
"P:r1@ADDG0X119852567.R,r1@UPF3B"	5.3651916073516e-16	0.502400292934786	0.312	0.257	4.0301709796943e-11	"4"	"ADDG0X119852567.R,r1@UPF3B"	"P"
"D:r1@ADDG16011873035.F"	5.39658764012806e-16	0.666969713518862	0.363	0.191	4.053754737635e-11	"6"	"ADDG16011873035.F"	"D"
"P:r1@SOCS3"	5.58205352046907e-16	0.736650399615089	0.344	0.18	4.19307114297075e-11	"6"	"SOCS3"	"P"
"P:r1@RABL2B"	5.90529841977145e-16	0.586793898884073	0.444	0.244	4.43588301397972e-11	"6"	"RABL2B"	"P"
"P:r1@IGFBP6"	6.03217257420094e-16	0.93055621364614	1	0.901	4.53118707256252e-11	"9"	"IGFBP6"	"P"
"P:r1@NFKBIB"	6.06598722234688e-16	0.565115152334283	0.267	0.214	4.5565876218103e-11	"4"	"NFKBIB"	"P"
"P:r1@XXYLT1"	6.07422047647282e-16	0.701631344426973	0.394	0.214	4.56277219531209e-11	"6"	"XXYLT1"	"P"
"P:r1@TAGLN2"	6.07673525941424e-16	1.5034330542102	0.91	0.905	4.5646612248142e-11	"8"	"TAGLN2"	"P"
"P:r1@TIFA"	6.16086360836928e-16	0.65385818722022	0.325	0.162	4.62785591669875e-11	"6"	"TIFA"	"P"
"P:r1@TCP11L1"	6.23829768995296e-16	0.693377305877417	0.33	0.166	4.68602207576197e-11	"6"	"TCP11L1"	"P"
"P:r1@LLGL1"	6.34495298456651e-16	0.828981719572079	0.254	0.118	4.76613833341683e-11	"6"	"LLGL1"	"P"
"P:r1@MAP3K8"	6.37687721285481e-16	0.592686800451538	0.494	0.297	4.79011885598015e-11	"6"	"MAP3K8"	"P"
"P:r1@CAPNS1"	6.39433095080326e-16	0.951222797746665	1	0.883	4.80322958031489e-11	"9"	"CAPNS1"	"P"
"P:r1@SGCE"	6.60874595259894e-16	1.31619018629105	0.844	0.473	4.96429169721374e-11	"9"	"SGCE"	"P"
"P:r1@MZT2B"	6.76026731237194e-16	0.772081233450301	0.923	0.989	5.07810999703443e-11	"8"	"MZT2B"	"P"
"P:r1@FAM114A2"	6.76053529975755e-16	0.505810657881868	0.556	0.328	5.07831130111888e-11	"6"	"FAM114A2"	"P"
"P:r1@ASXL2"	6.81458539719027e-16	0.551444834767118	0.409	0.22	5.11891211280741e-11	"6"	"ASXL2"	"P"
"P:r1@TBC1D15"	6.87808589492892e-16	0.580900619329611	0.253	0.198	5.16661178169376e-11	"4"	"TBC1D15"	"P"
